Protein ID,H53_EL_RM_vs_H53_LL_RM,H53_EL_RM_vs_H53_LL_RM_PEP,2174_EL_RM_vs_2174_LL_RM,2174_EL_RM_vs_2174_LL_RM_PEP,2176_EL_RM_vs_2176_LL_RM,2176_EL_RM_vs_2176_LL_RM_PEP,H53_EL_RM_vs_2174_EL_RM,H53_EL_RM_vs_2174_EL_RM_PEP,2176_LL_RM_vs_H53_LL_RM,2176_LL_RM_vs_H53_LL_RM_PEP,H53_EL_RM_vs_H53_EL_CM,H53_EL_RM_vs_H53_EL_CM_PEP,2176_EL_RM_vs_2176_EL_CM,2176_EL_RM_vs_2176_EL_CM_PEP,H53_EL_RM_vs_2176_EL_RM,H53_EL_RM_vs_2176_EL_RM_PEP,H53_EL_CM_vs_2176_EL_CM,H53_EL_CM_vs_2176_EL_CM_PEP,H53_LL_RM_vs_H53_EL_CM,H53_LL_RM_vs_H53_EL_CM_PEP
HVO_2008 [D4GTN6] (arcS) archaeosine synthase,-0.45001568,0.000290921,-0.61536982,0.000270027,-0.558290744,0.000314563,0.20083388,0.642810258,-0.020897667,0.988036096,0.054339741,0.95556346,-0.167780649,0.887850097,0.131777843,0.947907111,-0.101168097,0.987390883,0.507814409,0.000315019
HVO_2007 [D4GTN5] FMN-binding domain protein,0.65113168,0.360794315,0.808369594,0.240213871,1.302385282,0.039740878,-0.555676537,0.819119391,0.49691477,0.881072525,-0.857183622,0.666605038,0.298832566,0.880335374,-1.210114585,0.869775627,0.146655887,0.966238791,-1.572223817,0.085184236
HVO_2004 [D4GTN2] (cysE) serine O-acetyltransferase,-0.871673191,0.000290921,-1.07918682,0.000270027,-1.00662709,0.000314563,0.145501708,0.902806978,0.00392454,0.977972383,-0.100734191,0.922626592,-0.226395271,0.901314759,0.03074376,0.985038935,-0.138550416,0.983234422,0.722717992,0.000315019
HVO_2003 [D4GTN1] conserved hypothetical protein,0,1,0.714013883,0.376814861,1.197449805,0.382298252,0,1,-0.028216684,0.919757138,0,1,6.642621452,1,0,1,2.053288446,1,-0.191856583,0.43712813
HVO_2002 [D4GTN0] ArsR family transcription regulator,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2.396101594,1
HVO_2001 [Q9C4M3] (tgtA1) tRNA-guanine(15) transglycosylase,-0.872591008,0.004950652,-0.918242673,0.000270027,-0.806726409,0.000314563,0.03543655,0.765674439,-0.018160148,0.962359086,-0.109946222,0.807753378,-0.283150004,0.853897442,-0.155314903,0.938832039,-0.139654598,0.977405041,0.644809119,0.000315124
HVO_1999 [D4GTM7] (htr7) transducer protein Htr7,-4.611258388,0.000290921,-0.25379333,0.46680433,-3.624949198,0.000314563,-3.307664649,0.189468898,-1.133037498,0.004205146,-2.896515235,0.001299785,-1.699820752,0.002611017,0.177845266,0.90274978,1.830562892,0.311018457,1.093016492,0.136570589
HVO_1995 [D4GTM3] conserved hypothetical protein,-0.345927876,0.190507004,-0.38947135,0.001350928,-0.096644106,0.607679076,0.0191033,0.949837083,-0.261632327,0.904926463,-0.192116769,0.820702218,-0.403567168,0.671239374,-0.000780852,0.975696102,-0.13168845,0.976352561,0.131555933,0.603298775
HVO_1989 [D4GTL8] (trmY) tRNA (pseudouridine(54)-N(1))-methyltransferase,-0.086471999,0.551697531,-0.193387733,0.469797468,-0.13932646,0.576323478,0.062126296,0.896864107,-0.079838538,0.957956293,-0.121712579,0.865975306,-0.241494541,0.895951716,0.048159158,0.952276147,0.086306748,0.973788245,-0.030024739,0.618498255
HVO_1988 [D4GTL7] GATase domain protein,3.581834417,0.000290921,2.978159443,0.000270027,3.418534948,0.167153748,0.614213053,0.793303061,-0.810406495,0.627429858,2.31335107,0.422852742,2.163273946,0.49340681,0.801286267,0.89332391,0.707097373,0.771728782,-1.320845724,0.001575735
HVO_1987 [D4GTL6] (sppA2) signal peptide peptidase SppA,2.036279533,0.000290921,1.771123572,0.000270027,2.610855428,0.000314563,0.348926171,0.820714603,-1.14336146,0.004205146,1.055216714,0.001300218,1.089854837,0.002611017,0.281989843,0.921381743,0.321230513,0.60760573,-0.969393171,0.005673991
HVO_1986 [D4GTL5] ABC-type transport system permease protein,-0.043237603,0.431755814,-0.155199299,0.450574425,0.339118956,0.493923235,-0.54056576,0.825035435,0.436672125,0.913512931,-0.282978868,0.777992612,0.349894228,0.052458218,-0.81311448,0.848862173,-0.161729032,0.983542111,-0.248378117,0.438121918
HVO_1985 [D4GTL4] ABC-type transport system ATP-binding protein,-0.739816645,0.024824766,-0.866527388,0.004055349,-0.596433841,0.085389152,0.005352331,0.919252883,0.173481511,0.948270685,-0.04401498,0.90996409,0.237384754,0.888907865,-0.238930105,0.925354189,0.017723226,0.98067447,0.56490591,0.182145487
HVO_1983 [D4GTL2] (aceB1) bifunctional malyl-CoA synthase / malyl-CoA thioesterase,-1.206937064,0.308312326,-0.881428544,0.249574585,-0.569686631,0.423864849,-0.518374202,0.853471349,0.031663318,0.934170456,-0.480815982,0.768839307,-0.62604246,0.875612728,-0.674060001,0.903831955,-0.80549113,0.949095655,0.683627092,0.462670656
HVO_1981 [D4GTL0] conserved hypothetical protein,-0.630577312,0.081564802,-1.235177049,0.007847294,-1.12830044,0.016693594,0.362872463,0.725401719,0.032267978,0.942562399,0.570903653,0.502716241,0.303652527,0.816502488,0.494531658,0.708592255,0.199475967,0.91059132,1.179964602,0.005989322
HVO_1980 [D4GTK9] DMT superfamily transport protein,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_1979 [D4GTK8] (pus10) tRNA pseudouridine synthase Pus10,0.012987085,0.841370136,-0.136300957,0.487836012,0.018276853,0.835218977,0.223524511,0.590535676,-0.065562043,0.977555015,0.119349577,0.889774938,0.047082761,0.971424391,0.071700565,0.98048854,0.017815645,0.992086291,0.124433462,0.600936728
"HVO_1978 [D4GTK7] (rnhB) ribonuclease H, type 2",-0.943928474,0.41601203,0,1,0.774393962,0.000629347,2.416182059,1,-0.321233103,0.95928689,-0.569641236,0.761838856,0.886237459,0.855923278,-1.396820796,0.862934892,0.06907877,0.955842147,0.277381969,0.424880561
HVO_1976 [D4GTK5] (secD) protein-export membrane protein SecD,-0.079005788,0.721907156,-0.441082054,0.003514191,-0.143876239,0.581373213,0.119786481,0.922552206,0.048887517,0.971493161,0.133206138,0.884049859,0.097559993,0.955962921,0.01771616,0.983436047,0.047342243,0.987501317,0.218168596,0.443092529
HVO_1975 [D4GTK4] (secF) protein-export membrane protein SecF,-0.600605291,0.112389761,-0.702284293,0.011102891,-0.125649668,0.582720303,0.214132355,0.853137517,-0.210811869,0.913936749,-0.034991743,0.885721897,0.179538321,0.919324628,-0.18983733,0.940354322,0.024113563,0.980533306,0.546977095,0.105255828
HVO_1974 [D4GTK3] conserved hypothetical protein,1.385423167,0.299744898,0,1,0,1,3.895950842,1,0.05158764,0.93275903,4.953645669,1,0,1,6.197918028,1,0,1,3.193606771,1
HVO_1973 [D4GTK2] conserved hypothetical protein,-0.50010202,0.03333546,-0.9091097,0.000270027,-0.722460031,0.001573456,0.19925493,0.840154292,0.022127226,0.965233531,0.050023712,0.904321385,-0.298078908,0.858251512,0.11860549,0.962333802,-0.292602111,0.961209679,0.577294743,0.010405162
HVO_1972 [D4GTK1] GNAT family acetyltransferase,0.860372397,0.396101934,0.254459091,0.448924561,0.584700557,0.430481168,0.408082719,0.848911603,-0.095733933,0.945650499,0.492041572,0.766444446,-0.097116373,0.883667672,0.35299889,0.929133614,-0.276260376,0.962434009,-0.364877264,0.494952504
HVO_1968 [D4GTJ7] conserved hypothetical protein,-0.187314569,0.441300676,-0.484659644,0.431179222,0.388043326,0.467958775,0.301592282,0.835431588,-0.290285049,0.919460654,0.252498049,0.793493127,0.109246858,0.877493076,-0.275626677,0.930352941,-0.409642493,0.959791619,0.412353235,0.484955901
HVO_1967 [D4GTJ6] (pgi) glucose-6-phosphate isomerase,0.225223605,0.137731531,0.279270073,0.18867867,0.124280964,0.685711883,-0.100456005,0.911606073,0.242872697,0.806036404,-0.026333555,0.884049859,0.048838395,0.960594521,-0.154663314,0.932733753,-0.104793894,0.985272339,-0.252548169,0.382311545
HVO_1966 [D4GTJ5] Abi/CAAX domain protein,0.143571018,0.494413566,0,1,-0.163600526,0.481929972,1.554499296,1,0.071949179,0.925195993,0.030201506,0.800610339,-0.278669263,0.897683472,0.172083511,0.92599711,-0.157109839,0.960048583,-0.101594298,0.656100881
HVO_1965 [D4GTJ4] (nob1) rRNA maturation endonuclease Nob1<|>HVO_2464 [D4GT59] (sucD) succinate--CoA ligase (ADP-forming) alpha subunit,0.263578633,0.48172955,-0.65787973,0.307806227,-0.371159597,0.462642336,0.488668603,0.777494895,0.147411559,0.928892776,0.549273373,0.712547333,0.243298694,0.857755758,0.518907183,0.906422738,0.259697318,0.968682906,0.261798518,0.539741543
HVO_1965 [D4GTJ4] (nob1) rRNA maturation endonuclease Nob1,-0.415411446,0.055443548,-0.380849438,0.16932675,-0.209425314,0.554475054,-0.048148109,0.923419518,-0.000949141,0.970740598,-0.173864518,0.837704031,0.025704639,0.936363024,-0.232388844,0.920895278,0.030130447,0.983234422,0.258459258,0.385933485
HVO_1964 [D4GTJ3] PRC domain protein,0.66827078,0.021894904,0.748169288,0.033757104,0.606785038,0.171969132,-0.230643913,0.849764721,0.379380991,0.918664824,-0.160014397,0.829438891,0.077456444,0.921954951,-0.346881124,0.924052205,-0.100329606,0.976352561,-0.840997694,0.010405162
HVO_1963 [D4GTJ2] (tif5B) translation initiation factor aIF-5B (bacterial-type IF2),-0.595941369,0.000290921,-0.766183825,0.000270027,-0.660543052,0.000314563,-0.032160929,0.985131496,0.009206401,0.992285024,-0.141750796,0.705278787,-0.12349626,0.930050643,0.052333602,0.989130684,0.054662825,0.993021685,0.473327459,0.000315019
HVO_1958 [D4GTI7] (pdaD) pyruvoyl-dependent arginine decarboxylase,-0.08910796,0.541185334,-0.801564801,0.105448606,-0.691157993,0.228997128,0.491624903,0.718552285,0.283251076,0.901587866,0.351107029,0.813496459,-0.12528021,0.916001245,0.287209624,0.933813723,-0.186086228,0.972499853,0.480324376,0.405055551
HVO_1957 [Q5UT56] (panB) proteasome-activating nucleotidase,-0.387469472,0.014581124,-0.208989106,0.275441464,-0.268330452,0.104482163,0.073266736,0.953271419,-0.189677828,0.908033122,0.015654934,0.960081289,-0.086074996,0.957177904,0.033407505,0.986961501,-0.018123265,0.991604434,0.372598119,0.006620019
HVO_1956 [D4GTI5] (dut) dUTP diphosphatase,-0.446698111,0.401313726,-0.177583205,0.525349685,-0.201983866,0.598226817,-0.059023593,0.878451023,-0.040635558,0.944302579,-0.061739506,0.827522698,0.157284246,0.924231387,-0.175855812,0.940954141,-0.043870764,0.974551605,0.355127539,0.35667119
HVO_1955 [D4GTI4] (citB1) aconitate hydratase,0.037122393,0.888580852,-0.054218871,0.920187082,-0.002685909,0.957726796,-0.053367199,0.981325355,0.106912164,0.964237556,-0.234899077,0.083033954,-0.059239364,0.982933041,-0.011866768,0.998500452,0.192327028,0.863192863,-0.24339454,0.018611987
HVO_1950 [D4GTH9] conserved hypothetical protein,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_1949 [D4GTH8] conserved hypothetical protein,0.615898334,0.414048826,0.059089084,0.512102003,-0.004909125,0.558504485,0.223499799,0.862097229,0.31294643,0.923705624,0.488125079,0.788421438,-0.289388375,0.900476994,0.354376407,0.933565899,-0.425396316,0.966369322,-0.163816248,0.505627941
HVO_1948 [D4GTH7] NUDIX family hydrolase,-0.183918144,0.538477338,-0.077257972,0.576297605,0.401056194,0.495590279,0.168491565,0.893871947,-0.476391544,0.913193693,-0.08137413,0.858103426,0.648248539,0.822450272,-0.036155801,0.95176962,0.31679847,0.965932409,0.375272029,0.486954323
"HVO_1946 [D4GTH5] (tif1a) translation initiation factor aIF-1 (SUI1 protein, bacterial-type IF3)",-0.374748499,0.43372857,0.551599778,0.143206805,0.185196688,0.600588922,-1.003874356,0.234783886,0.364480081,0.830341614,-0.799944117,0.066788059,0.038999475,0.927892737,-0.84823786,0.050915553,0.066430137,0.978695133,-0.435514786,0.254200166
HVO_1945 [D4GTH4] conserved hypothetical protein,0.003371995,0.663727083,0.029716078,0.589903745,-0.072657423,0.558840355,0.055225559,0.903426048,0.145123386,0.948202989,0.39291011,0.66261253,0.274302733,0.867974383,0.059873503,0.955052927,-0.16090953,0.974960593,0.350376881,0.386262826
HVO_1944 [D4GTH3] probable transmembrane glycoprotein / HTH domain protein,-0.090068218,0.625779302,-0.304659872,0.326195135,-0.191950776,0.553132325,0.192495502,0.871073866,0.018483408,0.967778118,0.203146219,0.854329001,0.072964049,0.949414905,0.012291735,0.974630561,-0.145740087,0.978845172,0.26056211,0.462006284
HVO_1943 [D4GTH2] endoisopeptidase/DUF4129 domain protein,0,1,1.563264986,0.247457481,1.2105335,0.349778836,0,1,0.056328952,0.931491638,0,1,-0.063875176,0.866736866,0,1,-0.248014621,0.9611599,-1.159867554,0.480294663
HVO_1941 [D4GTH0] AAA-type ATPase (MoxR subfamily),2.765885793,0.097691466,1.828053247,0.396085815,3.160790821,0.111812568,-0.031529559,0.869863162,0.368611973,0.482952094,0.054256643,0.816522824,1.121465493,0.797754071,-0.437270205,0.922632819,0.175946751,0.96851957,-3.042905228,0.000315019
HVO_1940 [D4GTG9] (mutS1a) DNA mismatch repair protein MutS,-0.571837274,0.000290921,-0.432392559,0.000270027,-0.306599876,0.106712485,-0.145404834,0.860341223,-0.110450345,0.959172287,-0.162817256,0.791739591,-0.060496317,0.970692983,-0.132460312,0.957131136,0.000796726,0.991227106,0.424780026,0.004412783
HVO_1939 [D4GTG8] (mutLa) DNA mismatch repair protein MutL,-0.013224581,0.683724637,-0.086319018,0.587805523,0.127502893,0.633725667,-0.188042816,0.901060306,0.001378463,0.94901096,-0.249841482,0.818720317,0.04807212,0.945649329,-0.093614146,0.960317199,0.167202785,0.971462484,-0.184658756,0.56390054
"HVO_1937 [D4GTG6] (mer) probable 5,10-methylenetetrahydrofolate reductase",0.455046852,0.178846738,0.598120175,0.129401412,0.366908186,0.472613337,-0.183037289,0.89544012,0.289610021,0.921514071,-0.210689721,0.853115727,0.248102193,0.90449326,-0.20101912,0.949571622,0.173450125,0.968396575,-0.667132041,0.157402812
HVO_1936 [D4GTG5] (cofE) coenzyme F420:L-glutamate ligase,0.665303381,0.011659953,0.621610632,0.00974579,0.385722289,0.223503282,0.006097431,0.937896496,-0.027623125,0.976540012,0.304394959,0.766925011,-0.149360341,0.929304929,0.238569407,0.940954141,-0.179056616,0.974790806,-0.359221747,0.301371386
HVO_1935 [D4GTG4] MJ0936 family phosphodiesterase,1.420768124,0.207452143,0.572088439,0.424314236,0.139761871,0.454673795,0.158065489,0.863835802,0.901913462,0.879409013,0.189167092,0.772158956,2.148809427,1,0.418045331,0.92599711,1.636954631,1,-1.149226022,0.382969969
HVO_1934 [D4GTG3] NUDIX family hydrolase / eIF-2B domain protein,1.639788866,0.000290921,1.070695769,0.000270027,1.34713318,0.000314563,0.397568376,0.808847204,0.26558274,0.876627775,0.247331317,0.804415474,0.133295047,0.951471461,0.211780098,0.931040944,-0.078157091,0.974310639,-1.298162757,0.000315019
HVO_1932 [D4GTG1] (ddh) D-2-hydroxyacid dehydrogenase (NADP),0.859669801,0.000290921,0.847761709,0.000270027,0.627540874,0.000314563,-0.038787671,0.962005141,0.144944497,0.942120641,0.232831315,0.651386578,0.047140095,0.968461499,0.215898802,0.843400815,-0.06913849,0.986098173,-0.636896507,0.000315019
HVO_1931 [D4GTG0] (engB) probable GTP-binding protein EngB,-0.894704242,0.097092849,-1.212840938,0.007576218,-0.444784426,0.43942124,0.037270465,0.896735183,-0.490880068,0.907123819,0.11628669,0.828865527,0.234145805,0.918914469,0.027473702,0.953401432,0.141077988,0.982661502,1.047984711,0.001890917
HVO_1928 [D4GTF7] probable COG0212-type thiamine metabolism protein,0.682878469,0.000290921,0.367288231,0.001891538,0.516768758,0.00818518,0.037344805,0.948581929,0.290284371,0.764526105,0.076446106,0.905711131,0.063147208,0.956465098,-0.081056885,0.978328971,-0.09961657,0.985958381,-0.616338471,0.000315124
HVO_1927 [D4GTF6] DUF389 family protein,0.141850195,0.474406109,-0.101545859,0.474460985,-0.035569285,0.534020915,-0.311506722,0.839074972,0.024482463,0.931661836,0.269778265,0.792179021,-0.026497032,0.938185373,0.158609311,0.941177755,-0.110721992,0.982503233,0.265188076,0.487953703
HVO_1926 [D4GTF5] SIMPL domain protein,0.896245484,0.180685274,1.057841998,0.001621216,0.869758077,0.007870218,-0.186112282,0.867107418,0.283762553,0.139806441,0.270076092,0.803784988,0.345319334,0.889826325,-0.187246002,0.943949586,-0.163113989,0.966064028,-0.684110503,0.040746015
HVO_1925 [D4GTF4] probable GTP-binding protein,-0.772917337,0.000290921,-0.957825841,0.000270027,-0.811254109,0.000314563,0.02455718,0.953705231,-0.130225963,0.950402292,0.040697425,0.929181967,-0.16415685,0.923740455,0.160055362,0.948777887,-0.183367516,0.979759228,0.817578752,0.000315019
HVO_1922 [D4GTF1] DUF1486 family protein,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
HVO_1921 [D4GTF0] (serS) serine--tRNA ligase,-0.255709046,0.065809153,-0.281763222,0.00974579,-0.296795528,0.017324188,0.04910093,0.979303764,-0.041220994,0.987761964,-0.10842564,0.887532137,-0.06762473,0.975340436,0.100628375,0.970190225,0.04500129,0.994997988,0.100244258,0.647957217
HVO_1920 [D4GTE9] DASS family transport protein,-0.947508985,0.062548052,-0.96227587,0.024994618,-0.685524818,0.255870862,0.004920111,0.917574888,-0.161726877,0.932842782,-0.120277996,0.849968113,0.391180769,0.025593826,-0.084285019,0.948176262,0.415035997,0.944134118,0.826477389,0.034416236
HVO_1918 [D4GTE7] beta-lactamase domain protein,-1.002380401,0.384727126,1.559468911,0.014635382,1.015482744,0.085707016,-1.420544906,0.733552488,0.296389318,0.937469637,-0.984798354,0.72632449,0.052649464,0.905419234,-1.619569751,0.841886248,0.040521795,0.957565954,-0.416276144,0.527017287
HVO_1917 [D4GTE6] (acs6) acyl-CoA synthetase,1.010744602,0.000290921,0.737820915,0.000270027,0.950576208,0.000314563,0.181576681,0.771789609,-0.007431425,0.988579784,0.48851584,0.001299785,0.450034803,0.023086006,0.123414473,0.960039413,0.128027521,0.984568601,-0.584560412,0.000315019
HVO_1916 [D4GTE5] (kef1) Kef-type transport system,0.213574984,0.278888081,0.109519798,0.61345757,0.417827594,0.000314668,-0.018010762,0.975225375,-0.219703076,0.752248518,0.066489007,0.935536642,0.147023854,0.914836202,0.063191354,0.982522179,0.119284171,0.983720056,-0.179624332,0.438784506
HVO_1914 [D4GTE3] (acaB3) acetyl-CoA C-acyltransferase,0.586808382,0.000290921,0.513219933,0.000270027,0.622489148,0.000314563,0.131498503,0.863205594,0.131621589,0.958769536,0.231274603,0.369141116,0.185657273,0.861513443,-0.096113399,0.976533275,-0.12806715,0.973682765,-0.356148133,0.003782247
HVO_1908 [D4GTE1] (nasA) assimilatory nitrate reductase,0,1,0,1,3.172795209,1,0,1,0,1,0,1,-0.654185857,0.871471899,0,1,0,1,0,1
HVO_1907 [D4GTE0] (cdc48d) arNOG05511 family protein (AAA-type ATPase core domain protein),-0.229976555,0.190199661,-0.401359522,0.000270027,-0.127585236,0.612071107,0.040604024,0.975006765,0.01753081,0.989284254,-0.123650667,0.861820144,-0.16008669,0.907929418,-0.119648635,0.942504579,-0.166674403,0.966672099,0.026912045,0.884376795
HVO_1905 [D4GTD8] beta-lactamase domain protein,0,1,0,1,0,1,0,1,0.243196539,0.925288232,0,1,0,1,0,1,4.153124325,1,-0.089612834,0.493618974
HVO_1902 [D4GTD5] conserved hypothetical protein,-2.83933902,0.000290921,3.22870645,1,-2.583367056,0.000314563,-3.938189597,0.001899474,-0.245540248,0.922664836,-3.86867634,0.394488931,-0.283047346,0.814105577,0.054704974,0.959983702,3.277065166,0.869954255,-1.12443383,0.492952285
HVO_1901 [D4GTD4] (tif2c) translation initiation factor aIF-2 gamma subunit,-0.486850555,0.000290921,-0.564800943,0.000270027,-0.528253021,0.000314563,0.117124037,0.923743423,-0.033120686,0.987347867,-0.117049242,0.861316668,-0.073258311,0.972570047,0.041872139,0.990553136,0.054437729,0.991865097,0.348271303,0.011351706
HVO_1899 [D4GTD2] (rpoE1) DNA-directed RNA polymerase subunit E,-0.649211877,0.119009172,-0.686912653,0.021990746,-0.090236796,0.574640883,0.306429783,0.756445889,-0.578664202,0.649623891,-0.190034357,0.853636436,-0.121482469,0.91798616,0.004836969,0.96500539,0.074781154,0.969647424,0.456567192,0.349124763
HVO_1896 [D4GTC9] (rps24e) 30S ribosomal protein S24e,-1.518482558,0.000290921,-0.70606128,0.000270027,-0.595385514,0.000314563,-0.590993772,0.083299447,-0.168752986,0.926930574,-0.790948979,0.001299785,-0.025674933,0.977176531,-0.752007673,0.004432964,0.04115587,0.989677103,0.736671486,0.000315019
HVO_1895 [D4GSZ6] (kae1) KEOPS complex subunit Kae1/Bud32,-0.674286852,0.008449525,-0.721757701,0.000270027,-0.408566069,0.189327097,0.17420492,0.879745171,-0.088437325,0.966110923,-0.00322693,0.896661918,0.091410773,0.956250205,0.036448824,0.976988067,-0.051653564,0.987123928,0.479145069,0.051200263
HVO_1894 [D4GSZ5] conserved hypothetical protein,0.110606373,0.583413693,0.325862344,0.373299101,0.890060915,0.000629347,-0.395022521,0.766705396,0.101540831,0.957309969,-0.222802392,0.851372019,0.495323302,0.780241329,-0.804556345,0.046856517,-0.076158566,0.976546552,-0.246399455,0.493285623
HVO_1893 [D4GSZ4] (ham1) XTP/dITP diphosphatase,-0.416063841,0.019260155,-0.313117292,0.15884177,-0.475868448,0.011020364,0.059225761,0.949479688,-6.64E-05,0.984311335,-0.033199062,0.934934082,-0.011713357,0.958866949,0.118908451,0.963972183,0.189210824,0.949491469,0.314254139,0.165107299
HVO_1888 [D4GSY9] (tupA) ABC-type transport system periplasmic substrate-binding protein (probable substrate tungstate),1.775483179,0.000290921,1.252812818,0.000270027,1.760484273,0.000314563,0.361851706,0.220980782,0.006935295,0.980489843,0.641140243,0.01288997,0.585350156,0.052458218,0.010061221,0.980373092,-0.014543221,0.989656849,-1.107588347,0.000315019
HVO_1886 [D4GSY7] (tupC) ABC-type transport system ATP-binding protein (probable substrate tungstate),0.721999567,0.394149436,0.513166493,0.409995249,1.037623315,0.364216747,0.197112718,0.84580685,-0.042663247,0.928539627,0.250415111,0.796319007,0.41242032,0.856925692,-0.235962074,0.922918748,-0.064323025,0.962482189,-0.488031601,0.462338464
HVO_1885 [D4GSY6] (trkA3) TrkA domain protein,2.643661967,0.007574473,2.917233483,0.000270027,3.7527245,0.000314563,-0.077692153,0.866178955,0.073186151,0.97418509,-0.549671995,0.79696702,-0.100371766,0.882012042,-0.523921222,0.911054104,-0.190635,0.962578371,-3.287207237,0.000315019
HVO_1880 [D4GSY2] conserved hypothetical protein,-0.618620597,0.187741879,-0.338722598,0.356116766,0.063536845,0.661549174,-0.554628617,0.60710378,-0.050592243,0.946972963,-0.52256833,0.6376334,-0.271105718,0.908155021,-0.590984423,0.774290064,-0.328542774,0.951858015,0.172939889,0.51264066
HVO_1879 [D4GSY1] (fadA3) enoyl-CoA hydratase,-0.215608547,0.505128817,-0.083878464,0.602179575,-0.026005874,0.694918025,-0.171718978,0.88173847,-0.261019601,0.897364267,-0.441269136,0.304904424,-0.329748173,0.796054245,0.028721528,0.973587139,0.107849461,0.979349845,-0.189966711,0.438784506
"HVO_1878 [D4GSY0] (nadE) NAD synthase, ammonia-dependent",0.413521026,0.104283044,-0.049919911,0.810818484,-0.056087132,0.791651885,0.517782271,0.001899474,0.091148819,0.968076263,0.185225528,0.770977773,-0.062383609,0.954877813,0.333075175,0.451295251,0.157168701,0.980363018,-0.243238355,0.262639842
HVO_1875 [D4GSX8] O-acetyltransferase (homolog to galactoside O-acetyltransferase),-0.037748667,0.787493513,0.251879394,0.139747344,0.066646625,0.710283093,-0.112009282,0.942310676,-0.043744933,0.974274119,-0.224065397,0.816723355,-0.039138889,0.954147493,-0.072000313,0.980642058,0.097728235,0.981834235,-0.271033921,0.350108714
HVO_1874 [D4GSX7] probable oxidoreductase (aldo-keto reductase family protein),-0.863481842,0.000290921,-0.853661673,0.000270027,-0.700805779,0.000314563,0.096320246,0.928203017,-0.122531422,0.962901695,-0.130458313,0.899244534,0.147988615,0.928459817,-0.063817765,0.979596606,0.15546055,0.975960988,0.808592716,0.000315019
HVO_1871 [D4GSX4] (hemQ) coproheme decarboxylase HemQ,0.046647257,0.864903503,0.212486694,0.188973178,0.171910944,0.48059841,-0.216129889,0.368324669,-0.039912957,0.986790259,-0.281360816,0.092133147,-0.414110918,0.012941436,0.035286143,0.993328268,-0.104658289,0.985958381,-0.284038985,0.039163137
HVO_1870 [D4GSX3] M50 family metalloprotease,-0.036280479,0.687948175,-0.286966144,0.24927202,-0.081693829,0.719857167,0.101085963,0.91587757,-0.09452851,0.970360585,0.076905915,0.900949786,0.086043429,0.952446378,0.139013768,0.963972183,0.126870665,0.976739362,0.108576948,0.713314114
HVO_1869 [D4GSX2] conserved hypothetical protein,-0.324226652,0.417976292,0,1,0,1,10.39801637,1,0.853209003,0.899126645,3.451040331,1,0,1,4.540279014,1,0,1,0.701362086,1
HVO_1868 [D4GSX1] conserved hypothetical protein,-0.348968659,0.393498836,0.05544293,0.657297623,0.007772757,0.641181829,-0.317806834,0.778228187,-0.154272675,0.945156898,-0.275643194,0.794147837,0.048148557,0.938013183,-0.110382918,0.965768392,0.064986486,0.982503233,-0.023325595,0.715022477
HVO_1867 [D4GSX0] (lysS) lysine--tRNA ligase,-0.74007743,0.000290921,-0.519811,0.000270027,-0.624792978,0.000314563,-0.036268241,0.982425774,-0.183378496,0.897997497,-0.29054114,0.085321128,-0.279729498,0.482182499,0.059513777,0.98607856,0.072036972,0.989717563,0.504365459,0.000315019
HVO_1866 [D4GSW9] (pyrH) uridylate kinase,0.243360795,0.380511257,-0.117059481,0.63260801,0.016229798,0.714043092,0.029178442,0.931304982,0.171460579,0.946419193,-0.035255377,0.912798571,-0.22798215,0.899512494,-0.072256041,0.96900963,-0.247030445,0.955898881,-0.223002008,0.557518896
HVO_1864 [D4GSW7] (moaE) molybdopterin synthase catalytic subunit,0.667723397,0.000290921,0.890862976,0.000270027,0.841720229,0.000314563,-0.249971042,0.846847645,0.174030271,0.935636786,-0.156193308,0.862489814,-0.040853685,0.943956122,-0.201661426,0.948511173,-0.297539677,0.958321468,-0.861223153,0.000315019
HVO_1861 [D4GSW4] (thiL) thiamine-monophosphate kinase,-0.201853027,0.532729408,-0.457898469,0.045864046,-0.25882479,0.410317222,0.173068579,0.863520983,0.005562926,0.971352807,0.133464067,0.879427163,0.09082025,0.955530361,0.088918,0.967998298,-0.031727115,0.990375839,0.271139718,0.111318264
HVO_1859 [D4GSW2] UPF0104 family protein,-0.052293426,0.542201343,-0.035622374,0.476128751,-0.209124515,0.558504485,0.142126636,0.891223549,-0.024468201,0.938641044,0.412447161,0.785738084,0.316495798,0.900716941,0.222832698,0.9466823,0.198990652,0.985031704,0.450506789,0.434809725
HVO_1858 [D4GSW1] (rps19e) 30S ribosomal protein S19e,-1.671768863,0.000290921,-1.408092007,0.000270027,-1.377260611,0.000314563,-0.22761388,0.369246048,-0.076656414,0.978013943,-0.278726358,0.117576864,-0.16025846,0.890608366,-0.13096673,0.933150998,-0.046115069,0.991017049,1.388830945,0.000315019
