"Protein.ID","H53_EL_RM_vs_H53_LL_RM_PEP","X2174_EL_RM_vs_2174_LL_RM_PEP","X2176_EL_RM_vs_2176_LL_RM_PEP","H53_EL_RM_vs_2174_EL_RM_PEP","X2176_LL_RM_vs_H53_LL_RM_PEP","H53_EL_RM_vs_H53_EL_CM_PEP","X2176_EL_RM_vs_2176_EL_CM_PEP","H53_EL_RM_vs_2176_EL_RM_PEP","H53_EL_CM_vs_2176_EL_CM_PEP","H53_LL_RM_vs_H53_EL_CM_PEP"
"1077","HVO_2097 [D4GUP4] major facilitator superfamily transport protein",0.417321421,0.420074518,0.490923364,0.808002196,0.923234191,0.751645965,0.890867986,0.914606952,0.962960716,0.460345569
"1078","HVO_2096 [D4GUP3] homolog to NAD-dependent epimerase/dehydratase",1,1,1,1,0.845089476,1,1,1,1,1
"1079","HVO_2095 [D4GUP2] (qor4) NADPH:quinone reductase",0.000290921,0.000270027,0.000314563,0.937505824,0.963332356,0.07958757,0.87458928,0.96297343,0.982103699,0.000315124
"1080","HVO_2093 [D4GUP0] (nhaC4) probable NhaC-type sodium/proton antiporter",0.341184246,0.457185428,0.456997195,0.777984031,0.933343377,0.818720317,0.901075982,0.920209221,0.963386357,0.487620564
"1081","HVO_2092 [D4GUN9] IclR family transcription regulator",0.142579391,0.187795379,0.581036473,0.881171398,0.920052567,0.877080816,0.949952252,0.957596556,0.989351063,0.002836531
"1082","HVO_2091 [D4GUN8] pyridoxal phosphate-dependent aminotransferase<|>HVO_B0261 [D4GPQ8] pyridoxal phosphate-dependent aminotransferase",1,1,1,1,1,1,1,1,1,1
"1083","HVO_2091 [D4GUN8] pyridoxal phosphate-dependent aminotransferase<|>HVO_2871 [D4GXI1] pyridoxal phosphate-dependent aminotransferase",0.304184715,0.229391891,0.42816488,0.871976291,0.950271006,0.797613503,0.911378844,0.932900934,0.969448645,0.361924686
"1084","HVO_2091 [D4GUN8] pyridoxal phosphate-dependent aminotransferase",0.000290921,0.000270027,0.000314563,0.001900106,0.044546029,0.001299785,0.002611017,0.81309763,0.008625803,0.000315019
"1085","HVO_2089 [D4GUN7] conserved hypothetical protein",1,1,1,1,1,1,1,1,1,1
"1086","HVO_2088 [D4GUN6] glycoside hydrolase domain protein<|>HVO_A0384 [D4GR52] (dppF8) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.003202549,0.489513192,0.498591765,0.001899474,0.927201034,0.212562896,0.898173861,0.004432964,0.968025032,0.534046868
"1087","HVO_2084 [D4GUN2] ABC-type transport system permease protein (probable substrate macrolides)",0.446247465,0.44595771,0.339293738,0.874211612,0.89426431,0.839729019,0.88651558,0.941103296,0.961997667,0.462670656
"1088","HVO_2083 [D4GUN1] ABC-type transport system ATP-binding protein (probable substrate macrolides)",0.010492179,0.014907353,0.175180902,0.850444338,0.947863509,0.83266401,0.892926093,0.949308105,0.968682906,0.008512383
"1089","HVO_2082 [D4GUN0] conserved hypothetical protein",0.000290921,0.000270027,0.000314563,0.892022682,0.965854196,0.921213258,0.908380196,0.956070988,0.978240552,0.000315019
"1090","HVO_2081 [D4GUM9] pectin lyase domain protein",0.78279703,0.000270027,0.768228537,0.001899474,0.973467697,0.001299785,0.002611017,0.980985764,0.989062281,0.006620019
"1091","HVO_2080 [D4GUM8] conserved hypothetical protein",0.000290921,0.000270027,0.000314563,0.608995104,0.924918642,0.852941912,0.968020982,0.81580356,0.080290244,0.000315019
"1092","HVO_2079 [D4GUM7] RND superfamily permease",0.127452037,0.026908363,0.01039024,0.868643838,0.93072107,0.750378472,0.906680911,0.958173432,0.968845496,0.338963692
"1093","HVO_2075 [D4GU89] IS1341-type transposase ISHvo23",0.450540096,0.43806431,0.41461051,0.829451889,0.921995525,0.777530301,0.842045213,0.92599711,0.963386357,0.489952798
"1094","HVO_2074 [D4GU87] probable secreted glycoprotein",0.000290921,0.48683027,0.000314563,0.662281028,0.913936749,0.198555132,0.002611017,0.913117997,0.54963616,0.324888658
"1095","HVO_2073 [D4GU86] TrmB family transcription regulator",0.611258988,0.627628678,0.634064445,0.722933113,0.939027409,0.728516962,0.922054898,0.949439995,0.963853796,0.364881152
"1096","HVO_2072 [P25062] (csg) S-layer glycoprotein",0.647317293,0.570737606,0.62593738,0.875685585,0.942562399,0.235163225,0.479537215,0.94640705,0.96928881,0.191160221
"1097","HVO_2071 [D4GU84] probable secreted glycoprotein",0.638270192,0.038701727,0.825518817,0.283012614,0.97619743,0.329219495,0.002611885,0.975569366,0.994291353,0.020822847
"1098","HVO_2070 [D4GU83] conserved hypothetical protein",0.055443548,0.879412069,0.007555268,0.804371074,0.989350813,0.017977008,0.10466472,0.960868959,0.965932409,0.607349448
"1099","HVO_2069 [D4GU82] RND superfamily permease",0.603331185,0.05582049,0.462974518,0.475433936,0.966264431,0.259427426,0.669435794,0.965919789,0.984321705,0.130810454
"1100","HVO_2068 [D4GU81] (cetZ6) FtsZ family protein CetZ, type III",0.46742914,0.000540269,0.057780534,0.803723507,0.95888487,0.942515173,0.935483954,0.957014232,0.988601745,0.394829995
"1101","HVO_2067 [D4GU80] TetR family transcription regulator",0.439653231,0.010831402,0.458325132,0.820317014,0.925656126,0.786411348,0.869048245,0.916894085,0.962960716,0.441766761
"1102","HVO_2066 [D4GU79] conserved hypothetical protein",0.417976292,0.448924561,1,0.163064578,1,0.019242699,0.887184559,0.550557626,0.973928363,0.158044593
"1103","HVO_2064 [D4GU77] conserved hypothetical protein",0.000290921,0.000270027,0.000314563,0.958048519,0.962847649,0.931894438,0.773176477,0.789284861,0.975928139,0.000315019
"1104","HVO_2062 [D4GU75] (pilA2) pilin PilA",0.16478307,0.376495027,0.088886318,0.126172148,0.692611317,0.191898819,0.750555054,0.508938532,0.919010717,0.226665436
"1105","HVO_2061 [D4GU74] (agl6) low-salt glycan biosynthesis hexosyltransferase Agl6",0.311808628,0.000270027,1,0.412882932,1,0.203262756,1,1,0.008625803,0.000315019
"1106","HVO_2060 [D4GU73] (agl8) low-salt glycan biosynthesis protein Agl8",0.454176256,0.607812056,0.330129757,0.704926253,0.341544301,0.718808229,0.853897442,0.921672205,0.916492287,0.619174386
"1107","HVO_2059 [D4GU72] (agl12) dTDP-glucose 4,6-dehydratase",0.000290921,0.338431809,0.000314563,0.001899474,0.004205146,0.001299785,0.002611017,0.004432964,0.008625803,0.76779919
"1108","HVO_2058 [D4GU71] (agl14) dTDP-4-dehydrorhamnose reductase",0.000290921,0.507026204,0.060632423,0.001899474,0.004205146,0.001299785,0.797754071,0.847000352,0.05753595,0.621541248
"1109","HVO_2057A [L9V9K4] small CPxCG-related zinc finger protein",1,0.262318979,1,1,0.808810568,1,1,1,1,1
"1110","HVO_2057 [D4GU70] (agl11) glucose-1-phosphate thymidylyltransferase Agl11",0.000290921,0.000270027,0.000314563,0.001899474,0.004205146,0.001299785,0.002611017,0.004432964,0.008625803,0.000315019
"1111","HVO_2056 [D4GU69] (agl13) dTDP-4-dehydrorhamnose 3,5-epimerase",0.127753945,0.448594727,0.13000657,0.029703382,0.465543181,0.289908243,0.81033187,0.581829167,0.887639283,0.598575305
"1112","HVO_2055 [D4GU68] (agl15) probable low-salt glycan biosynthesis flippase Agl15",1,0.450904536,1,1,0.854649356,1,1,1,0.89575638,0.459349289
"1113","HVO_2053 [D4GU66] (agl5) low-salt glycan biosynthesis hexosyltransferase Agl5",0.000290921,0.000540269,0.000314563,0.001899474,0.949941673,0.001299785,0.023086006,0.556912353,0.008625803,0.079139982
"1114","HVO_2052 [D4GU65] conserved hypothetical protein",1,0.395763323,1,1,1,1,1,1,1,1
"1115","HVO_2049 [D4GU63] (agl10) low-salt glycan biosynthesis hexosyltransferase Agl10",0.004950652,0.008118405,0.418575441,0.001899474,0.191329324,0.086461606,0.889039477,0.939368575,0.575290578,0.028407225
"1116","HVO_2048 [D4GU62] (agl9) low-salt glycan biosynthesis hexosyltransferase Agl9",0.000873127,0.714780562,1,0.015035886,0.004205146,0.031768008,1,1,0.05753595,0.481293294
"1117","HVO_2047 [D4GU61] AlkP-core domain protein",0.132890365,0.345994498,1,0.624158841,0.873286698,0.526026039,1,1,0.922766927,0.469649572
"1118","HVO_2046 [D4GU60] (agl7) low-salt glycan biosynthesis sulfotransferase Agl7",0.000290921,0.002161895,0.000314563,0.001899474,0.264962141,0.001299785,0.002611017,0.249899137,0.008625803,0.068969679
"1119","HVO_2044 [D4GU58] (I-endH) intein-related probable LAGLIDADG endonuclease I-EndH",1,1,1,1,1,1,1,1,1,1
"1120","HVO_2042 [D4GU56] (orc4) Orc1-type DNA replication protein",1,0.438721085,1,1,1,1,1,1,1,1
"1121","HVO_2040 [D4GU54] GalE family epimerase/dehydratase",0.000290921,0.004596644,0.000314563,0.001899474,0.004205146,0.001299785,0.002611017,0.004432964,0.008625803,0.643549149
"1122","HVO_2035 [D4GU48] TrmB family transcription regulator",1,0.304704031,1,1,0.858412084,1,1,1,1,0.521665134
"1123","HVO_2032 [D4GU45] (tsgD12) ABC-type transport system ATP-binding protein (probable substrate sugar)",1,1,1,1,1,0.741613619,0.890608366,0.92069986,0.957620384,1
"1124","HVO_2031 [D4GU44] (tsgA12) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)",0.003785152,0.076711285,0.028051513,0.001900106,0.386294534,0.010331789,0.861996363,0.690882346,0.952660339,0.555168913
"1125","HVO_2029 [D4GU43] Lrp/AsnC family transcription regulator",0.051010618,0.511763281,0.000314563,0.83943544,0.92702083,0.775906251,0.855587593,0.561064907,0.823152248,0.388897994
"1126","HVO_2027 [D4GU40] DoxX domain protein",0.457484989,0.456523495,0.46397114,0.835799124,0.933592447,0.796535182,0.880335374,0.930611681,0.955155315,0.40109587
"1127","HVO_2020 [D4GU33] DUF502 family protein",0.003785152,0.517528088,0.076176268,0.001899474,0.004205146,0.001299785,0.777556005,0.918819308,0.072823521,0.634400846
"1128","HVO_2018 [D4GU31] conserved hypothetical protein",0.000290921,0.001080674,1,0.292969274,0.020711721,0.010331789,1,1,0.682233431,0.298110061
"1129","HVO_2017 [D4GU30] conserved hypothetical protein",1,0.284641762,1,1,0.582849338,1,1,1,0.921428363,0.515981992
"1130","HVO_2016 [D4GU29] conserved hypothetical protein",0.000290921,0.789116255,0.106712485,0.001899474,0.004205146,0.001299785,1,1,0.008625803,0.692157308
"1131","HVO_2015 [D4GU28] conserved hypothetical protein",0.000290921,0.000270027,0.000314563,0.001899474,0.004205146,0.001299785,0.002611017,0.004432964,0.008625803,0.000315019
"1132","HVO_2014 [D4GU27] small CPxCG-related zinc finger protein",1,0.190741044,1,1,0.850165213,1,1,1,1,0.450056066
"1133","HVO_2013 [D4GU26] (cetZ5) FtsZ family protein CetZ, type III",0.000290921,0.000270027,0.000314563,0.001899474,0.004205146,0.001299785,0.010376587,0.275409654,0.008625803,0.000315019
"1134","HVO_2012 [D4GTP0] receiver box response regulator",0.35531851,0.436095086,1,0.817914429,0.753439275,0.732046741,1,1,0.962192203,0.213091901
"1135","HVO_2011 [D4GTN9] conserved hypothetical protein",1,1,1,1,1,1,1,1,1,1
"1136","HVO_2010 [D4GTN8] homolog to phage PhiH1 repressor protein",0.424531482,0.434783184,0.474941557,0.449974016,0.92702083,0.419169169,0.884078339,0.870621718,0.962722195,0.435803253
"1137","HVO_2008 [D4GTN6] (arcS) archaeosine synthase",0.000290921,0.000270027,0.000314563,0.642810258,0.988036096,0.95556346,0.887850097,0.947907111,0.987390883,0.000315019
"1138","HVO_2007 [D4GTN5] FMN-binding domain protein",0.360794315,0.240213871,0.039740878,0.819119391,0.881072525,0.666605038,0.880335374,0.869775627,0.966238791,0.085184236
"1139","HVO_2004 [D4GTN2] (cysE) serine O-acetyltransferase",0.000290921,0.000270027,0.000314563,0.902806978,0.977972383,0.922626592,0.901314759,0.985038935,0.983234422,0.000315019
"1140","HVO_2003 [D4GTN1] conserved hypothetical protein",1,0.376814861,0.382298252,1,0.919757138,1,1,1,1,0.43712813
"1141","HVO_2002 [D4GTN0] ArsR family transcription regulator",1,1,1,1,1,1,1,1,1,1
"1142","HVO_2001 [Q9C4M3] (tgtA1) tRNA-guanine(15) transglycosylase",0.004950652,0.000270027,0.000314563,0.765674439,0.962359086,0.807753378,0.853897442,0.938832039,0.977405041,0.000315124
"1143","HVO_1999 [D4GTM7] (htr7) transducer protein Htr7",0.000290921,0.46680433,0.000314563,0.189468898,0.004205146,0.001299785,0.002611017,0.90274978,0.311018457,0.136570589
"1144","HVO_1995 [D4GTM3] conserved hypothetical protein",0.190507004,0.001350928,0.607679076,0.949837083,0.904926463,0.820702218,0.671239374,0.975696102,0.976352561,0.603298775
"1145","HVO_1989 [D4GTL8] (trmY) tRNA (pseudouridine(54)-N(1))-methyltransferase",0.551697531,0.469797468,0.576323478,0.896864107,0.957956293,0.865975306,0.895951716,0.952276147,0.973788245,0.618498255
"1146","HVO_1988 [D4GTL7] GATase domain protein",0.000290921,0.000270027,0.167153748,0.793303061,0.627429858,0.422852742,0.49340681,0.89332391,0.771728782,0.001575735
"1147","HVO_1987 [D4GTL6] (sppA2) signal peptide peptidase SppA",0.000290921,0.000270027,0.000314563,0.820714603,0.004205146,0.001300218,0.002611017,0.921381743,0.60760573,0.005673991
"1148","HVO_1986 [D4GTL5] ABC-type transport system permease protein",0.431755814,0.450574425,0.493923235,0.825035435,0.913512931,0.777992612,0.052458218,0.848862173,0.983542111,0.438121918
"1149","HVO_1985 [D4GTL4] ABC-type transport system ATP-binding protein",0.024824766,0.004055349,0.085389152,0.919252883,0.948270685,0.90996409,0.888907865,0.925354189,0.98067447,0.182145487
"1150","HVO_1983 [D4GTL2] (aceB1) bifunctional malyl-CoA synthase / malyl-CoA thioesterase",0.308312326,0.249574585,0.423864849,0.853471349,0.934170456,0.768839307,0.875612728,0.903831955,0.949095655,0.462670656
"1151","HVO_1981 [D4GTL0] conserved hypothetical protein",0.081564802,0.007847294,0.016693594,0.725401719,0.942562399,0.502716241,0.816502488,0.708592255,0.91059132,0.005989322
"1152","HVO_1980 [D4GTK9] DMT superfamily transport protein",1,1,1,1,1,1,1,1,1,1
"1153","HVO_1979 [D4GTK8] (pus10) tRNA pseudouridine synthase Pus10",0.841370136,0.487836012,0.835218977,0.590535676,0.977555015,0.889774938,0.971424391,0.98048854,0.992086291,0.600936728
"1154","HVO_1978 [D4GTK7] (rnhB) ribonuclease H, type 2",0.41601203,1,0.000629347,1,0.95928689,0.761838856,0.855923278,0.862934892,0.955842147,0.424880561
"1155","HVO_1976 [D4GTK5] (secD) protein-export membrane protein SecD",0.721907156,0.003514191,0.581373213,0.922552206,0.971493161,0.884049859,0.955962921,0.983436047,0.987501317,0.443092529
"1156","HVO_1975 [D4GTK4] (secF) protein-export membrane protein SecF",0.112389761,0.011102891,0.582720303,0.853137517,0.913936749,0.885721897,0.919324628,0.940354322,0.980533306,0.105255828
"1157","HVO_1974 [D4GTK3] conserved hypothetical protein",0.299744898,1,1,1,0.93275903,1,1,1,1,1
"1158","HVO_1973 [D4GTK2] conserved hypothetical protein",0.03333546,0.000270027,0.001573456,0.840154292,0.965233531,0.904321385,0.858251512,0.962333802,0.961209679,0.010405162
"1159","HVO_1972 [D4GTK1] GNAT family acetyltransferase",0.396101934,0.448924561,0.430481168,0.848911603,0.945650499,0.766444446,0.883667672,0.929133614,0.962434009,0.494952504
"1160","HVO_1968 [D4GTJ7] conserved hypothetical protein",0.441300676,0.431179222,0.467958775,0.835431588,0.919460654,0.793493127,0.877493076,0.930352941,0.959791619,0.484955901
"1161","HVO_1967 [D4GTJ6] (pgi) glucose-6-phosphate isomerase",0.137731531,0.18867867,0.685711883,0.911606073,0.806036404,0.884049859,0.960594521,0.932733753,0.985272339,0.382311545
"1162","HVO_1966 [D4GTJ5] Abi/CAAX domain protein",0.494413566,1,0.481929972,1,0.925195993,0.800610339,0.897683472,0.92599711,0.960048583,0.656100881
"1163","HVO_1965 [D4GTJ4] (nob1) rRNA maturation endonuclease Nob1<|>HVO_2464 [D4GT59] (sucD) succinate--CoA ligase (ADP-forming) alpha subunit",0.48172955,0.307806227,0.462642336,0.777494895,0.928892776,0.712547333,0.857755758,0.906422738,0.968682906,0.539741543
"1164","HVO_1965 [D4GTJ4] (nob1) rRNA maturation endonuclease Nob1",0.055443548,0.16932675,0.554475054,0.923419518,0.970740598,0.837704031,0.936363024,0.920895278,0.983234422,0.385933485
"1165","HVO_1964 [D4GTJ3] PRC domain protein",0.021894904,0.033757104,0.171969132,0.849764721,0.918664824,0.829438891,0.921954951,0.924052205,0.976352561,0.010405162
"1166","HVO_1963 [D4GTJ2] (tif5B) translation initiation factor aIF-5B (bacterial-type IF2)",0.000290921,0.000270027,0.000314563,0.985131496,0.992285024,0.705278787,0.930050643,0.989130684,0.993021685,0.000315019
"1167","HVO_1958 [D4GTI7] (pdaD) pyruvoyl-dependent arginine decarboxylase",0.541185334,0.105448606,0.228997128,0.718552285,0.901587866,0.813496459,0.916001245,0.933813723,0.972499853,0.405055551
"1168","HVO_1957 [Q5UT56] (panB) proteasome-activating nucleotidase",0.014581124,0.275441464,0.104482163,0.953271419,0.908033122,0.960081289,0.957177904,0.986961501,0.991604434,0.006620019
"1169","HVO_1956 [D4GTI5] (dut) dUTP diphosphatase",0.401313726,0.525349685,0.598226817,0.878451023,0.944302579,0.827522698,0.924231387,0.940954141,0.974551605,0.35667119
"1170","HVO_1955 [D4GTI4] (citB1) aconitate hydratase",0.888580852,0.920187082,0.957726796,0.981325355,0.964237556,0.083033954,0.982933041,0.998500452,0.863192863,0.018611987
"1171","HVO_1950 [D4GTH9] conserved hypothetical protein",1,1,1,1,1,1,1,1,1,1
"1172","HVO_1949 [D4GTH8] conserved hypothetical protein",0.414048826,0.512102003,0.558504485,0.862097229,0.923705624,0.788421438,0.900476994,0.933565899,0.966369322,0.505627941
"1173","HVO_1948 [D4GTH7] NUDIX family hydrolase",0.538477338,0.576297605,0.495590279,0.893871947,0.913193693,0.858103426,0.822450272,0.95176962,0.965932409,0.486954323
"1174","HVO_1946 [D4GTH5] (tif1a) translation initiation factor aIF-1 (SUI1 protein, bacterial-type IF3)",0.43372857,0.143206805,0.600588922,0.234783886,0.830341614,0.066788059,0.927892737,0.050915553,0.978695133,0.254200166
"1175","HVO_1945 [D4GTH4] conserved hypothetical protein",0.663727083,0.589903745,0.558840355,0.903426048,0.948202989,0.66261253,0.867974383,0.955052927,0.974960593,0.386262826
"1176","HVO_1944 [D4GTH3] probable transmembrane glycoprotein / HTH domain protein",0.625779302,0.326195135,0.553132325,0.871073866,0.967778118,0.854329001,0.949414905,0.974630561,0.978845172,0.462006284
"1177","HVO_1943 [D4GTH2] endoisopeptidase/DUF4129 domain protein",1,0.247457481,0.349778836,1,0.931491638,1,0.866736866,1,0.9611599,0.480294663
"1178","HVO_1941 [D4GTH0] AAA-type ATPase (MoxR subfamily)",0.097691466,0.396085815,0.111812568,0.869863162,0.482952094,0.816522824,0.797754071,0.922632819,0.96851957,0.000315019
"1179","HVO_1940 [D4GTG9] (mutS1a) DNA mismatch repair protein MutS",0.000290921,0.000270027,0.106712485,0.860341223,0.959172287,0.791739591,0.970692983,0.957131136,0.991227106,0.004412783
"1180","HVO_1939 [D4GTG8] (mutLa) DNA mismatch repair protein MutL",0.683724637,0.587805523,0.633725667,0.901060306,0.94901096,0.818720317,0.945649329,0.960317199,0.971462484,0.56390054
"1181","HVO_1937 [D4GTG6] (mer) probable 5,10-methylenetetrahydrofolate reductase",0.178846738,0.129401412,0.472613337,0.89544012,0.921514071,0.853115727,0.90449326,0.949571622,0.968396575,0.157402812
"1182","HVO_1936 [D4GTG5] (cofE) coenzyme F420:L-glutamate ligase",0.011659953,0.00974579,0.223503282,0.937896496,0.976540012,0.766925011,0.929304929,0.940954141,0.974790806,0.301371386
"1183","HVO_1935 [D4GTG4] MJ0936 family phosphodiesterase",0.207452143,0.424314236,0.454673795,0.863835802,0.879409013,0.772158956,1,0.92599711,1,0.382969969
"1184","HVO_1934 [D4GTG3] NUDIX family hydrolase / eIF-2B domain protein",0.000290921,0.000270027,0.000314563,0.808847204,0.876627775,0.804415474,0.951471461,0.931040944,0.974310639,0.000315019
"1185","HVO_1932 [D4GTG1] (ddh) D-2-hydroxyacid dehydrogenase (NADP)",0.000290921,0.000270027,0.000314563,0.962005141,0.942120641,0.651386578,0.968461499,0.843400815,0.986098173,0.000315019
"1186","HVO_1931 [D4GTG0] (engB) probable GTP-binding protein EngB",0.097092849,0.007576218,0.43942124,0.896735183,0.907123819,0.828865527,0.918914469,0.953401432,0.982661502,0.001890917
"1187","HVO_1928 [D4GTF7] probable COG0212-type thiamine metabolism protein",0.000290921,0.001891538,0.00818518,0.948581929,0.764526105,0.905711131,0.956465098,0.978328971,0.985958381,0.000315124
"1188","HVO_1927 [D4GTF6] DUF389 family protein",0.474406109,0.474460985,0.534020915,0.839074972,0.931661836,0.792179021,0.938185373,0.941177755,0.982503233,0.487953703
"1189","HVO_1926 [D4GTF5] SIMPL domain protein",0.180685274,0.001621216,0.007870218,0.867107418,0.139806441,0.803784988,0.889826325,0.943949586,0.966064028,0.040746015
"1190","HVO_1925 [D4GTF4] probable GTP-binding protein",0.000290921,0.000270027,0.000314563,0.953705231,0.950402292,0.929181967,0.923740455,0.948777887,0.979759228,0.000315019
"1191","HVO_1922 [D4GTF1] DUF1486 family protein",1,1,1,1,1,1,1,1,1,1
"1192","HVO_1921 [D4GTF0] (serS) serine--tRNA ligase",0.065809153,0.00974579,0.017324188,0.979303764,0.987761964,0.887532137,0.975340436,0.970190225,0.994997988,0.647957217
"1193","HVO_1920 [D4GTE9] DASS family transport protein",0.062548052,0.024994618,0.255870862,0.917574888,0.932842782,0.849968113,0.025593826,0.948176262,0.944134118,0.034416236
"1194","HVO_1918 [D4GTE7] beta-lactamase domain protein",0.384727126,0.014635382,0.085707016,0.733552488,0.937469637,0.72632449,0.905419234,0.841886248,0.957565954,0.527017287
"1195","HVO_1917 [D4GTE6] (acs6) acyl-CoA synthetase",0.000290921,0.000270027,0.000314563,0.771789609,0.988579784,0.001299785,0.023086006,0.960039413,0.984568601,0.000315019
"1196","HVO_1916 [D4GTE5] (kef1) Kef-type transport system",0.278888081,0.61345757,0.000314668,0.975225375,0.752248518,0.935536642,0.914836202,0.982522179,0.983720056,0.438784506
"1197","HVO_1914 [D4GTE3] (acaB3) acetyl-CoA C-acyltransferase",0.000290921,0.000270027,0.000314563,0.863205594,0.958769536,0.369141116,0.861513443,0.976533275,0.973682765,0.003782247
"1198","HVO_1908 [D4GTE1] (nasA) assimilatory nitrate reductase",1,1,1,1,1,1,0.871471899,1,1,1
"1199","HVO_1907 [D4GTE0] (cdc48d) arNOG05511 family protein (AAA-type ATPase core domain protein)",0.190199661,0.000270027,0.612071107,0.975006765,0.989284254,0.861820144,0.907929418,0.942504579,0.966672099,0.884376795
"1200","HVO_1905 [D4GTD8] beta-lactamase domain protein",1,1,1,1,0.925288232,1,1,1,1,0.493618974
"1201","HVO_1902 [D4GTD5] conserved hypothetical protein",0.000290921,1,0.000314563,0.001899474,0.922664836,0.394488931,0.814105577,0.959983702,0.869954255,0.492952285
"1202","HVO_1901 [D4GTD4] (tif2c) translation initiation factor aIF-2 gamma subunit",0.000290921,0.000270027,0.000314563,0.923743423,0.987347867,0.861316668,0.972570047,0.990553136,0.991865097,0.011351706
"1203","HVO_1899 [D4GTD2] (rpoE1) DNA-directed RNA polymerase subunit E",0.119009172,0.021990746,0.574640883,0.756445889,0.649623891,0.853636436,0.91798616,0.96500539,0.969647424,0.349124763
"1204","HVO_1896 [D4GTC9] (rps24e) 30S ribosomal protein S24e",0.000290921,0.000270027,0.000314563,0.083299447,0.926930574,0.001299785,0.977176531,0.004432964,0.989677103,0.000315019
"1205","HVO_1895 [D4GSZ6] (kae1) KEOPS complex subunit Kae1/Bud32",0.008449525,0.000270027,0.189327097,0.879745171,0.966110923,0.896661918,0.956250205,0.976988067,0.987123928,0.051200263
"1206","HVO_1894 [D4GSZ5] conserved hypothetical protein",0.583413693,0.373299101,0.000629347,0.766705396,0.957309969,0.851372019,0.780241329,0.046856517,0.976546552,0.493285623
"1207","HVO_1893 [D4GSZ4] (ham1) XTP/dITP diphosphatase",0.019260155,0.15884177,0.011020364,0.949479688,0.984311335,0.934934082,0.958866949,0.963972183,0.949491469,0.165107299
"1208","HVO_1888 [D4GSY9] (tupA) ABC-type transport system periplasmic substrate-binding protein (probable substrate tungstate)",0.000290921,0.000270027,0.000314563,0.220980782,0.980489843,0.01288997,0.052458218,0.980373092,0.989656849,0.000315019
"1209","HVO_1886 [D4GSY7] (tupC) ABC-type transport system ATP-binding protein (probable substrate tungstate)",0.394149436,0.409995249,0.364216747,0.84580685,0.928539627,0.796319007,0.856925692,0.922918748,0.962482189,0.462338464
"1210","HVO_1885 [D4GSY6] (trkA3) TrkA domain protein",0.007574473,0.000270027,0.000314563,0.866178955,0.97418509,0.79696702,0.882012042,0.911054104,0.962578371,0.000315019
"1211","HVO_1880 [D4GSY2] conserved hypothetical protein",0.187741879,0.356116766,0.661549174,0.60710378,0.946972963,0.6376334,0.908155021,0.774290064,0.951858015,0.51264066
"1212","HVO_1879 [D4GSY1] (fadA3) enoyl-CoA hydratase",0.505128817,0.602179575,0.694918025,0.88173847,0.897364267,0.304904424,0.796054245,0.973587139,0.979349845,0.438784506
"1213","HVO_1878 [D4GSY0] (nadE) NAD synthase, ammonia-dependent",0.104283044,0.810818484,0.791651885,0.001899474,0.968076263,0.770977773,0.954877813,0.451295251,0.980363018,0.262639842
"1214","HVO_1875 [D4GSX8] O-acetyltransferase (homolog to galactoside O-acetyltransferase)",0.787493513,0.139747344,0.710283093,0.942310676,0.974274119,0.816723355,0.954147493,0.980642058,0.981834235,0.350108714
"1215","HVO_1874 [D4GSX7] probable oxidoreductase (aldo-keto reductase family protein)",0.000290921,0.000270027,0.000314563,0.928203017,0.962901695,0.899244534,0.928459817,0.979596606,0.975960988,0.000315019
"1216","HVO_1871 [D4GSX4] (hemQ) coproheme decarboxylase HemQ",0.864903503,0.188973178,0.48059841,0.368324669,0.986790259,0.092133147,0.012941436,0.993328268,0.985958381,0.039163137
"1217","HVO_1870 [D4GSX3] M50 family metalloprotease",0.687948175,0.24927202,0.719857167,0.91587757,0.970360585,0.900949786,0.952446378,0.963972183,0.976739362,0.713314114
"1218","HVO_1869 [D4GSX2] conserved hypothetical protein",0.417976292,1,1,1,0.899126645,1,1,1,1,1
"1219","HVO_1868 [D4GSX1] conserved hypothetical protein",0.393498836,0.657297623,0.641181829,0.778228187,0.945156898,0.794147837,0.938013183,0.965768392,0.982503233,0.715022477
"1220","HVO_1867 [D4GSX0] (lysS) lysine--tRNA ligase",0.000290921,0.000270027,0.000314563,0.982425774,0.897997497,0.085321128,0.482182499,0.98607856,0.989717563,0.000315019
"1221","HVO_1866 [D4GSW9] (pyrH) uridylate kinase",0.380511257,0.63260801,0.714043092,0.931304982,0.946419193,0.912798571,0.899512494,0.96900963,0.955898881,0.557518896
"1222","HVO_1864 [D4GSW7] (moaE) molybdopterin synthase catalytic subunit",0.000290921,0.000270027,0.000314563,0.846847645,0.935636786,0.862489814,0.943956122,0.948511173,0.958321468,0.000315019
"1223","HVO_1861 [D4GSW4] (thiL) thiamine-monophosphate kinase",0.532729408,0.045864046,0.410317222,0.863520983,0.971352807,0.879427163,0.955530361,0.967998298,0.990375839,0.111318264
"1224","HVO_1859 [D4GSW2] UPF0104 family protein",0.542201343,0.476128751,0.558504485,0.891223549,0.938641044,0.785738084,0.900716941,0.9466823,0.985031704,0.434809725
