Protein ID,H26_vs_DksgA,H26_vs_DksgA_PEP,H26_vs_DksgA_KsgA,H26_vs_DksgA_KsgA_PEP,H26_vs_DksgA_ksgA_E84A,H26_vs_DksgA_ksgA_E84A_PEP,Row_Number
HVO_1513 [D4GYF9] beta-lactamase domain protein,0.261994232,0.740682086,-1.05765472,0.360666433,-0.686528675,0.200893264,1409
HVO_1512 [D4GYF8] conserved hypothetical protein,-0.896568116,0.652220884,1.06698998,0.247587996,0.851204871,0.000241787,1410
HVO_1508 [D4GYF4] (ilvB1) acetolactate synthase large subunit,-0.110076206,0.850613655,-0.3148509,0.118497196,-0.116449431,0.615369535,1411
HVO_1507 [D4GYF3] (ilvN) acetolactate synthase small subunit,-0.348776497,0.420387015,1.176624457,0.000244843,1.425612465,0.000241787,1412
HVO_1506 [D4GYF2] (ilvC) ketol-acid reductoisomerase,-0.131088414,0.827113339,1.535838321,0.000244843,2.078969467,0.000241787,1413
HVO_1505 [D4GYF1] conserved hypothetical protein,-0.269807697,0.713943423,1.597195995,0.000244843,1.624160617,0.000241787,1414
HVO_1504 [Q7ZAG7] (leuC1) 3-isopropylmalate dehydratase large subunit,0.255435666,0.619113558,0.182648022,0.439894866,0.829815548,0.000241787,1415
HVO_1503 [D4GYE9] (leuD1) 3-isopropylmalate dehydratase small subunit,-0.310733099,0.697322727,1.489166902,0.000244843,1.98222997,0.000241787,1416
HVO_1502 [D4GYE8] (leuB) 3-isopropylmalate dehydrogenase,-0.068331252,0.874930118,0.78128838,0.000244843,1.412991619,0.000241787,1417
HVO_1501 [D4GYE7] (glpR) DeoR family transcription regulator GlpR,0.095173598,0.832590093,-1.268871991,0.000244843,-1.690555448,0.000241787,1418
HVO_1500 [D4GYE6] (pfkB) 1-phosphofructokinase,0.066309809,0.843538242,-0.674073706,0.174972689,-0.679116611,0.148130406,1419
"HVO_1499 [D4GYE5] (ptfC) phosphotransferase system component IIC, fructose-specific",0.418802746,0.644766167,0.091610648,0.477157315,-0.279121452,0.435816432,1420
"HVO_1498 [D4GYE4] (ptfA) phosphotransferase system component IIA, fructose-specific",-0.681918728,0.000825727,1.495476801,0.000244843,1.327496333,0.000241787,1421
HVO_1497 [D4GYE3] (ptsH1) phosphocarrier protein HPr,-1.034041158,0.000825727,1.176981874,0.001470199,0.551987075,0.198934609,1422
HVO_1496 [D4GYE2] (ptsI) phosphotransferase system component I,-0.319105081,0.141492249,1.106971323,0.000244843,1.070999262,0.000241787,1423
"HVO_1495 [D4GYE1] (ptfB) phosphotransferase system component IIB, fructose-specific",-0.228276807,0.702926401,1.375531956,0.000244843,1.263989211,0.000241787,1424
"HVO_1494 [D4GYE0] (fba1) fructose-bisphosphate aldolase, class 2",0.172485563,0.702368923,0.80734939,0.000244843,0.602640577,0.000241787,1425
HVO_1493 [D4GYD9] conserved hypothetical protein,-0.645937338,0.307666218,1.048501232,0.123565947,0.703923458,0.119566842,1426
HVO_1492 [D4GYD8] conserved hypothetical protein,-0.16631277,0.692793105,0.602725837,0.021223073,0.567687095,0.031570608,1427
HVO_1491 [D4GYD7] HAD superfamily hydrolase,0.203809908,0.756620807,-0.912711769,0.000244843,-0.768245324,0.000241787,1428
HVO_1488 [D4GYD4] (gnaD) D-gluconate dehydratase<|>HVO_B0038A [D4GP40] (xacD) D-xylonate dehydratase / D-gluconate dehydratase,-0.01408925,0.777283916,-0.417691236,0.418010036,-0.784636222,0.308711166,1429
HVO_1488 [D4GYD4] (gnaD) D-gluconate dehydratase,0.153133716,0.759348221,-0.539263585,0.063634719,-0.765407921,0.000483779,1430
HVO_1487 [D4GYD3] (galK) galactokinase,-0.112382218,0.741453593,-0.21749648,0.443187059,-0.018716448,0.445032491,1431
HVO_1486 [D4GYD1] MOSC domain protein,-0.469231983,0.66830758,0.882993977,0.017002059,0.798221065,0.156245192,1432
HVO_1485 [D4GYD0] ferritin domain protein,-0.321218672,0.759348221,-0.323550105,0.426793293,-0.244855773,0.530179601,1433
HVO_1484 [D4GYC8] (hemAT1) transducer protein HemAT<|>HVO_1999 [D4GTM7] (htr7) transducer protein Htr7,-0.577051875,0.695629018,1.756554219,0.151084183,1.923166866,0.000241787,1434
HVO_1484 [D4GYC8] (hemAT1) transducer protein HemAT,-0.692560999,0.009858582,1.984701677,0.000244843,2.105216698,0.000241787,1435
HVO_1483 [D4GYC5] rhodanese domain protein / beta-lactamase domain protein (nonfunctional),-0.527939114,0.671879912,-1.722845594,0.263952624,-1.572026106,0.237477923,1436
HVO_1482 [D4GYC3] (ferA2) ferredoxin (2Fe-2S),-0.280315191,0.644766167,0.121167599,0.493053239,0.10494253,0.499797882,1437
HVO_1481 [D4GYC1] UspA domain protein,-0.47633268,0.232714045,0.888554733,0.000734904,0.635237379,0.073323215,1438
HVO_1480 [D4GYC0] conserved hypothetical protein,0.052087425,0.739393405,2.007251284,0.005890177,2.08825353,0.00727532,1439
HVO_1479 [D4GYB8] TIGR03663 family protein,0.368805067,0.6876469,-1.025136537,0.263952624,-1.290239202,0.219494154,1440
HVO_1478 [D4GYB5] (tfb5) transcription initiation factor TFB,0.28161729,0.289808928,-0.658278834,0.006628211,-0.778004003,0.001694,1441
HVO_1477 [D4GYB3] eDNA utilization nuclease,0.243240873,0.687934214,0.232158115,0.424185804,0.775692484,0.314756125,1442
HVO_1476 [D4GYB2] conserved hypothetical protein,-1.172079473,0.638470469,-1.410798959,0.296019606,-1.264415778,0.307203784,1443
HVO_1475 [D4GYB0] probable rRNA methyltransferase,-0.19519463,0.757366256,-0.528685735,0.299323772,-0.430693646,0.010196673,1444
HVO_1473 [D4GYA8] UPF0058 family protein,-0.048220167,0.806037589,1.152022581,0.000244843,1.135647666,0.000241787,1445
HVO_1472 [D4GYA6] conserved hypothetical protein,-0.372879071,0.644140038,1.314287632,0.00294196,1.059350045,0.000241867,1446
HVO_1471 [D4GYA5] YuiH family molybdopterin-binding domain protein,-0.304140164,0.65621403,-0.310311857,0.388759468,-0.30302311,0.379123151,1447
HVO_1470 [D4GYA2] (menF) isochorismate synthase,0.144739813,0.821564994,-0.46711727,0.07599014,-0.173272869,0.393738231,1448
HVO_1469 [D4GYA1] (menD) 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,-0.075408805,0.871707592,-1.779573123,0.000244843,-1.734161229,0.000241787,1449
"HVO_1465 [D4GY93] (menB) 1,4-dihydroxy-2-naphthoyl-CoA synthase",-0.045310033,0.875496121,-0.817004905,0.000489893,-0.823376254,0.000241787,1450
HVO_1464 [D4GY90] ABC-type transport system periplasmic substrate-binding protein<|>HVO_B0047 [D4GP49] ABC-type transport system periplasmic substrate-binding protein,0.166764904,0.472833467,1.22893087,0.407662557,1.008097922,0.388002486,1451
HVO_1463 [D4GY88] (trxB4) oxidoreductase (homolog to thioredoxin-disulfide reductase),-1.327050683,0.674542584,0.770475829,0.405407995,1.107558594,0.366528243,1452
HVO_1461 [D4GY84] (menC) o-succinylbenzoate synthase,-0.136791723,0.800660479,-1.082364796,0.22938757,-1.058061136,0.234321638,1453
HVO_1460 [D4GY82] (fadA2) enoyl-CoA hydratase,0.05404021,0.875496121,-1.129950074,0.024958131,-1.247939271,0.0983297,1454
HVO_1459 [D4GY81] ThuA family protein,-0.065187076,0.791088848,-0.43113351,0.281089909,-0.631920409,0.092617846,1455
HVO_1457 [D4GY76] glycoside hydrolase domain protein,-0.491167481,0.386567718,0.288610005,0.369136084,0.009153757,0.586589587,1456
HVO_1455 [D4GY73] (pyrI) aspartate carbamoyltransferase regulatory subunit,-0.316076913,0.698167389,-0.752299151,0.009091162,-1.124893205,0.005331322,1457
HVO_1454 [D4GY71] (pyrB) aspartate carbamoyltransferase catalytic subunit,-0.411602182,0.029231855,-1.031588916,0.000244843,-1.294845036,0.000241787,1458
HVO_1453 [D4GY69] (gdhA2) glutamate dehydrogenase (NADP),0.140742707,0.830281653,-0.906200124,0.000244843,-1.233159622,0.000241787,1459
HVO_1452 [D4GY67] (citE) homolog to citrate lyase beta subunit,-0.464499555,0.282991692,-0.536641956,0.053420203,-0.387111932,0.153805807,1460
HVO_1451 [D4GY63] (gdhA1) glutamate dehydrogenase (NAD)<|>HVO_B0266 [D4GPR3] (gdhA3) glutamate dehydrogenase (NAD),-0.560043496,0.635612257,-2.318702762,0.079354968,-2.42534718,0.04701394,1461
HVO_1451 [D4GY63] (gdhA1) glutamate dehydrogenase (NAD),-0.936509407,0.000825727,-4.927138173,0.000244843,-4.969394801,0.000241787,1462
HVO_1450 [D4GY61] (maoC1) MaoC domain protein,0.084808824,0.7968113,-1.754604821,0.002696558,-2.08145476,0.001451867,1463
HVO_1447 [D4GY56] (pccB1) propionyl-CoA carboxylase carboxyltransferase component,-0.354698452,0.351908644,-3.569922826,0.000244843,-3.61096193,0.004603057,1464
"HVO_1446 [D4GY54] (fbp1) fructose-1,6-bisphosphatase",0.179164077,0.62206301,1.079234211,0.003432894,1.476381599,0.237765202,1465
HVO_1444 [D4GY50] (hbd3) 3-hydroxyacyl-CoA dehydrogenase,-0.013934528,0.934522043,-0.7199005,0.000244843,-1.066686987,0.000241787,1466
HVO_1443 [D4GY47] ABC-type transport system ATP-binding protein,0.266917699,0.679825789,0.317558445,0.377019325,0.282737426,0.436472898,1467
HVO_1442 [D4GY44] ABC-type transport system permease protein,0,1,0,1,0,1,1468
HVO_1441 [D4GY42] ABC-type transport system permease protein,0.747040359,0.637836669,0.369511317,0.388759468,0.191478114,0.352173241,1469
HVO_1440 [D4GY40] conserved hypothetical protein,-0.76782809,0.183929554,1.268019683,0.018986827,0.801317811,0.082293399,1470
HVO_1439 [D4GY39] (cysK1) cysteine synthase,-0.040742232,0.899099923,-0.544679516,0.000244843,-0.70537713,0.000241787,1471
HVO_1438 [D4GY37] YneT family protein,-0.346603266,0.721776044,1.179976036,0.001470199,1.202839746,0.012880243,1472
HVO_1437 [D4GY35] conserved hypothetical protein,0.091623354,0.858357342,-0.893244898,0.000734904,-0.966315023,0.000241787,1473
HVO_1425 [D4GY14] conserved hypothetical protein,1.019386512,0.36871423,-0.196234435,0.44351665,0.140659156,0.505964909,1474
HVO_1424 [D4GY13] conserved hypothetical protein,1.09702475,0.001651191,-0.398932424,0.349444416,-0.785612846,0.005088523,1475
HVO_1423 [D4GY11] homolog to phage PhiH1 repressor protein,0.341477178,0.752624562,-0.54178058,0.500206096,-0.51275549,0.459960149,1476
HVO_1419 [D4GY03] HTH-10 family transcription regulator,0.556443803,0.010674897,-0.638188781,0.013040988,-0.132314126,0.530179601,1477
HVO_1416 [D4GXZ9] APH family phosphotransferase,-0.042987774,0.710938688,-0.1381977,1,-1.923760236,0.332733864,1478
HVO_1415 [D4GXZ7] HAD superfamily hydrolase,-0.445889481,0.720434704,0.594385665,0.355045348,1.083249828,0.090288032,1479
HVO_1414 [D4GXZ6] sensor box histidine kinase,-1.429591735,0.606139503,-0.515520386,0.346031498,1.264466532,1,1480
HVO_1413 [D4GXZ5] (ndh2) probable NADH dehydrogenase,0.344290065,0.512375868,-1.062772046,0.001715384,-1.34380968,0.000241787,1481
HVO_1412 [D4GXZ3] (mvaD) phosphomevalonate decarboxylase,0.030815711,0.889208669,0.035274393,0.752443571,-0.050363113,0.627914311,1482
HVO_1410 [D4GXZ0] conserved hypothetical protein,0,1,0,1,0,1,1483
HVO_1409 [D4GXY8] YwrF family protein,0.456758495,0.660479652,-0.375988008,0.433985891,-0.367604868,0.398854923,1484
HVO_1407 [D4GXY3] HTH domain protein,-0.059793099,0.81419909,0.74867188,0.002205884,1.021794298,0.000241787,1485
HVO_1405 [D4GXX9] conserved hypothetical protein,-0.377837246,0.66501054,-0.56924025,0.393543982,-0.697454728,0.38514273,1486
HVO_1402 [D4GXX4] (pmm3) phosphohexomutase (phosphoglucomutase / phosphomannomutase),-0.145592081,0.746310405,0.153370681,0.543440188,0.17385034,0.452644197,1487
HVO_1401 [D4GXX3] (tsgA11) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar),0.034334479,0.906313113,-0.384098981,0.153537417,-0.762832112,0.001694,1488
HVO_1400 [D4GXX2] (tsgD11) ABC-type transport system ATP-binding protein (probable substrate sugar),0.190603791,0.675132373,-0.167716535,0.447477021,-0.263882978,0.193631834,1489
HVO_1399 [D4GXX1] (tsgB11) ABC-type transport system permease protein (probable substrate sugar),1.06310098,0.447613676,-0.793616875,0.354110463,-0.601988846,0.375964553,1490
HVO_1398 [D4GXX0] (tsgC11) ABC-type transport system permease protein (probable substrate sugar),0.758633991,0.613497092,0.093198663,0.407340281,0.234419569,0.381021484,1491
HVO_1397 [D4GXW7] histidine kinase,0.424411864,0.67924152,5.810150075,1,3.523951312,1,1492
HVO_1396 [D4GXW9] FAD-dependent oxidoreductase (homolog to geranylgeranyl reductase),-0.029314148,0.908918733,-1.324689211,0.000244843,-1.294491479,0.000241787,1493
HVO_1395 [D4GXW6] M20 family amidohydrolase (homolog to indole-3-acetyl-aspartate hydrolase)<|>HVO_B0263 [D4GPR0] M20 family amidohydrolase (homolog to indole-3-acetyl-aspartate hydrolase),0.449269817,0.710390355,-0.22006735,0.417685658,-0.281320087,0.418197038,1494
HVO_1395 [D4GXW6] M20 family amidohydrolase (homolog to indole-3-acetyl-aspartate hydrolase),0.443926276,0.016366788,0.242995138,0.24149669,0.218895743,0.404631848,1495
HVO_1394 [D4GXW4] (nhaC3) probable NhaC-type sodium/proton antiporter,1.015847281,0.45599098,-2.503366666,0.236872179,-2.427069782,0.171519708,1496
HVO_1393 [D4GXW2] conserved hypothetical protein,0.094800317,0.772025425,-0.225737684,0.466422899,-0.711411416,0.279444439,1497
HVO_1392 [D4GXW0] (rps10b) 30S ribosomal protein S10b,-0.184635187,0.745801541,-0.331192944,0.353487517,-0.219116887,0.446353577,1498
HVO_1391 [D4GXV8] NUDIX family hydrolase,0.966246103,0.000825727,-0.568347473,0.029703582,-0.345477368,0.272365319,1499
HVO_1390 [D4GXV6] conserved hypothetical protein,-0.463870385,0.655295302,-2.996065175,0.364111507,-2.382527869,0.059851628,1500
HVO_1389 [D4GXV4] probable S-adenosylmethionine-dependent methyltransferase,-0.872989322,0.504757415,1.23379274,0.000244843,0.97789224,0.000483779,1501
HVO_1388 [D4GXV3] conserved hypothetical protein,-0.252797225,0.692793105,0.555647066,0.176080411,0.52157988,0.000241787,1502
HVO_1387 [D4GXV2] (fadA1) enoyl-CoA hydratase,-0.464034947,0.536942899,-2.158955788,0.000244843,-2.353636551,0.000241787,1503
HVO_1385 [D4GXU9] (tfs1) transcription elongation factor TFS,0.097836174,0.795216487,1.498057142,0.000244843,1.662491157,0.000241787,1504
HVO_1383 [D4GXU5] (trmI) tRNA (adenine-N(1))-methyltransferase TrmI,0.392820415,0.319137129,-0.202772505,0.46809547,0.048807762,0.615369535,1505
HVO_1382 [D4GXU3] (nac) nascent polypeptide-associated complex protein,-0.385830736,0.005764968,1.164435336,0.000244843,1.130193832,0.000241787,1506
HVO_1381 [D4GXU0] probable methyltransferase,-0.351227433,0.546406618,0.924103886,0.018986827,0.816485568,0.003390173,1507
HVO_1380 [D4GXT9] (mmcA2) methylmalonyl-CoA mutase subunit A,0.16007287,0.769131138,-2.200575927,0.000244843,-2.543809493,0.000241787,1508
HVO_1377 [D4GXT4] UPF0145 family protein,-0.313993634,0.594910057,0.425943853,0.352864819,0.569276057,0.294303569,1509
HVO_1376 [D4GXT1] (mce) methylmalonyl-CoA epimerase,-0.104372922,0.731848469,-0.137042208,0.446155813,-0.200591789,0.460293513,1510
HVO_1375 [D4GXS9] (menE) o-succinylbenzoate--CoA ligase,0.399090981,0.220975185,0.151554068,0.514261981,0.570420039,0.001936178,1511
HVO_1374 [D4GXS7] (acs4) acyl-CoA synthetase,-0.229046532,0.695063145,-2.575526946,0.000244843,-2.669615221,0.000241787,1512
HVO_1373 [D4GXS5] (acd4) acyl-CoA dehydrogenase,0.09664317,0.843945818,-1.467627245,0.000244843,-1.600860049,0.000241787,1513
HVO_1372 [D4GXS3] (proC) pyrroline-5-carboxylate reductase,-0.034670872,0.840673996,0.74954554,0.017250001,1.065968381,0.003875193,1514
HVO_1371 [D4GXS1] (proB) glutamate 5-kinase,-0.43776261,0.418528929,0.539212497,0.043279079,0.800722568,0.000241787,1515
HVO_1370 [D4GXR9] (proA) gamma-glutamyl phosphate reductase,-0.222464076,0.579919147,-0.090250069,0.668168794,-0.053688345,0.717333781,1516
HVO_1369 [D4GXR8] DUF124 family protein,0.587915916,0.259775234,-1.287319771,0.000244843,-1.3282177,0.000967734,1517
HVO_1368 [D4GXR6] beta-lactamase domain protein,0.117580903,0.748087057,-1.040038071,0.123565947,-0.977440198,0.069751651,1518
HVO_1366 [D4GXR2] UPF0033 family protein,1.350343556,1,-1.225448599,0.289432574,-0.817595721,0.341959147,1519
HVO_1365 [D4GXQ9] rhodanese domain protein / beta-lactamase domain protein,-0.233857262,0.707087227,0.298231969,0.374492383,0.514762431,0.388956939,1520
HVO_1360 [D4GXQ1] TrmB family transcription regulator,-0.415557396,0.696758808,1.244646972,0.087150411,1.246524972,0.176189646,1521
HVO_1359 [D4GXP8] small CPxCG-related zinc finger protein,-1.255845618,0.232714045,0.220709867,0.487285713,-0.259904405,0.427307775,1522
HVO_1358 [D4GXP7] receiver box response regulator,-0.880053032,0.579565573,-0.756176409,0.289133836,-0.855087574,0.153535027,1523
HVO_1357 [D4GXP4] receiver/bat box HTH-10 family transcription regulator,0.479650486,0.030029302,-0.764177875,0.054438339,-0.990442336,0.026379919,1524
HVO_1356 [D4GXP2] sensor box histidine kinase,0.0739588,0.85460301,-0.019807847,0.604470443,-0.0611156,0.601097896,1525
HVO_1354 [D4GXN9] (mutS5b) DNA mismatch repair protein MutS,-0.011672806,0.904040548,-0.757648869,0.000244925,-0.917655285,0.000241787,1526
HVO_1351 [D4GXN3] (rad3a) DNA repair helicase Rad3,0.13448492,0.728426655,-1.155653699,0.101290249,-1.421609981,0.010684192,1527
HVO_1350 [D4GXN2] ArsR family transcription regulator,-0.173082628,0.697885997,-0.015889645,0.457088346,0.254000409,0.422745639,1528
HVO_1348 [D4GXM8] (nnrDE) bifunctional NAD(P)H-hydrate repair enzyme Nnr,-0.0263739,0.901225056,-0.935986174,0.000244843,-0.780427979,0.000241787,1529
HVO_1347 [D4GXM7] (moaC) probable cyclic pyranopterin monophosphate synthase,-0.243664678,0.216602063,-0.712139731,0.072633252,-0.964726608,0.006789053,1530
HVO_1346 [D4GXM6] (hflX) ribosome-associating GTPase HflX,1.111662822,0.000825727,0.17318762,0.524277141,0.352253506,0.18142736,1531
HVO_1345 [D4GXM3] FUN14 family protein,3.604981285,1,2.319431133,0.159003832,2.265547986,0.128047762,1532
HVO_1344 [D4GXM1] (sdo1) ribosome maturation protein Sdo1,-0.194556801,0.703204901,1.257106701,0.000244843,1.276293352,0.000241787,1533
HVO_1342 [D4GXL8] (trxA2) thioredoxin,0.350110776,0.590767954,1.374726085,0.000244843,1.65103441,0.000241787,1534
"HVO_1341 [D4GXL5] (arfC) 2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase",-0.141581331,0.7968113,-0.829559318,0.026954253,-1.092733783,0.001936178,1535
"HVO_1340 [D4GXL3] probable glycosyltransferase, type 1",0.180935848,0.756123169,-0.119881256,0.529481406,0.031170376,0.547705041,1536
HVO_1339 [D4GXL2] conserved hypothetical protein,-1.443093235,0.652220884,-0.094553542,0.419308212,-0.495597483,0.307505137,1537
HVO_1338 [D4GXL0] (rpa1) replication protein A<|>HVO_2734 [D4GW68] GNAT family acetyltransferase,-0.256173888,0.70736335,0.582234595,0.349444416,0.361807831,0.403346192,1538
HVO_1338 [D4GXL0] (rpa1) replication protein A,0.001492267,0.936136089,0.583258415,0.000244843,0.665383238,0.000241787,1539
HVO_1337 [D4GXK9] (rpap1) rpa-associated protein,-0.094177743,0.858553988,0.617853841,0.017497986,0.610712261,0.023176718,1540
HVO_1336 [D4GXK7] (rpe) rpa-associated phosphoesterase,0,1,0,1,0,1,1541
HVO_1333 [D4GXK1] (lhr2) ATP-dependent DNA helicase,0.462736526,0.658960318,-0.807416818,0.203482389,-0.956616194,0.142477988,1542
HVO_1332 [D4GXJ9] conserved hypothetical protein,-0.414568384,0.232714045,0.101937707,0.582084397,0.08706108,0.610598392,1543
HVO_1331 [D4GXJ8] ArsR family transcription regulator,0.120767951,0.711760021,0.936258756,0.287939467,0.843233802,0.286558016,1544
HVO_1327 [D4GXI7] (cdc48c) AAA-type ATPase (CDC48 subfamily)<|>HVO_2700 [D4GVS7] (cdc48b) AAA-type ATPase (CDC48 subfamily),0.094143553,0.715574497,0.598119107,0.377651695,0.62763798,0.389593575,1545
HVO_1327 [D4GXI7] (cdc48c) AAA-type ATPase (CDC48 subfamily)<|>HVO_2380 [D4GWM8] (cdc48a) AAA-type ATPase (CDC48 subfamily)<|>HVO_2700 [D4GVS7] (cdc48b) AAA-type ATPase (CDC48 subfamily),0.005966601,0.733419447,1.920721949,0.15544834,1.763562009,0.106157134,1546
HVO_1327 [D4GXI7] (cdc48c) AAA-type ATPase (CDC48 subfamily),0.496335812,0.002475567,-1.412383813,0.000244843,-0.982494415,0.000241787,1547
HVO_1326 [D4GXI6] small CPxCG-related zinc finger protein,-0.371868828,0.681283468,-0.252716079,0.364738699,0.17474359,0.37501826,1548
HVO_1325 [D4GXI5] conserved hypothetical protein,-0.810599295,0.492523052,0.506609578,0.320518321,0.163811794,0.481102945,1549
HVO_1324 [D4GXI4] conserved hypothetical protein,-0.724764864,0.481291527,1.589867787,0.144833475,1.175754776,0.212137563,1550
"HVO_1323 [D4GXI3] (aroK) shikimate kinase, archaeal-type",0.025160235,0.758605987,-0.304362376,0.342626042,0.24945549,0.473350841,1551
HVO_1322 [D4GXI0] (aroQ) chorismate mutase,-0.012013465,0.808701447,1.099312319,0.000489893,1.465410214,0.000241787,1552
HVO_1318 [D4GXH3] (aacC) aminoglycoside N3'-acetyltransferase,0.24454184,0.713943423,0.186897205,0.556810888,0.185400247,0.410753562,1553
HVO_1314 [D4GXG7] (surE1) 5'-nucleotidase SurE,-0.179955642,0.690798184,-0.132496807,0.655761809,-0.084584366,0.669170397,1554
HVO_1313 [D4GXG6] probable S-adenosylmethionine-dependent methyltransferase,0.011749245,0.883891187,-0.823919709,0.002696558,-0.848599939,0.000241787,1555
HVO_1312 [D4GXG3] (tyrA) prephenate dehydrogenase,-0.325324322,0.698729687,-0.01514183,0.461415539,-0.239154039,0.48279329,1556
HVO_1311 [D4GXG1] probable oxidoreductase (short-chain dehydrogenase family),-0.858846542,0.000825727,-1.643766707,0.000244843,-1.553728605,0.000241787,1557
HVO_1310 [D4GXG0] conserved hypothetical protein,-0.769341722,0.665611606,-1.689516584,0.375755346,-2.085502421,1,1558
HVO_1309 [D4GXF6] peptidase M24 family protein (homolog to Xaa-Pro dipeptidase),-0.368614313,0.414328061,1.233910235,0.000244843,1.335431395,0.000241787,1559
HVO_1308 [D4GXF5] (aroA) 3-phosphoshikimate 1-carboxyvinyltransferase,0.374013867,0.48254999,-0.34355465,0.455427125,-0.273236212,0.473014666,1560
HVO_1307 [D4GXF4] conserved hypothetical protein,0,1,0,1,0,1,1561
HVO_1306 [D4GXF2] (aroC) chorismate synthase,0.59034862,0.004943831,-0.926489654,0.000244843,-0.676974431,0.000725734,1562
HVO_1305 [D4GXF1] (porA) pyruvate--ferredoxin oxidoreductase alpha subunit,0.193138205,0.601743744,-0.79129691,0.000244843,-0.722882431,0.000241787,1563
HVO_1304 [D4GXE9] (porB) pyruvate--ferredoxin oxidoreductase beta subunit,0.082090818,0.868267127,-0.674576138,0.000489893,-0.482241584,0.009465731,1564
HVO_1303 [D4GXE8] Lrp/AsnC family transcription regulator,0.10942984,0.774423256,0.524120789,0.182466025,0.371717981,0.309012827,1565
HVO_1302 [D4GXE6] (polY) DNA-directed DNA polymerase Y,0.052251199,0.737842293,-1.744909639,0.118497196,-1.767948451,0.027860916,1566
HVO_1301 [D4GXE5] DUF87 domain protein,0.422668605,0.561956534,-0.91449228,0.000244843,-0.57564485,0.292810861,1567
HVO_1300 [D4GXE4] (tpiA1) triosephosphate isomerase,-0.183405616,0.726573847,-0.001527157,0.586753597,0.10978864,0.602555898,1568
HVO_1299 [D4GXE3] cro/C1 family transcription regulator,-0.189769208,0.77033934,1.093332129,0.000244843,1.132208049,0.000241787,1569
HVO_1296 [D4GXD8] (adk2) probable adenylate kinase,-0.033773732,0.777283916,1.121822813,0.062609942,1.120364049,0.029838137,1570
HVO_1295 [P17736] (hisC) histidinol-phosphate aminotransferase,0.030621246,0.902635364,-0.968363039,0.000244843,-0.906154617,0.000241787,1571
HVO_1294 [D4GXD4] GMC family oxidoreductase,0.092946603,0.81984319,-1.83799504,0.079095853,-1.729799441,0.053795136,1572
HVO_1293 [D4GXD3] LacC domain protein,-0.265326902,0.712579957,-0.244433835,0.41088892,-0.457782734,0.329977386,1573
HVO_1291 [D4GXD0] fumarylacetoacetase family protein,-0.078814172,0.805145996,-0.135591051,0.546246132,0.078902265,0.58731192,1574
HVO_1290 [D4GXC7] metal-dependent hydrolase domain protein,-0.919719835,0.700132608,-1.258179858,0.24236537,-1.062566756,0.236329382,1575
HVO_1289 [D4GXC5] OsmC domain protein,-0.30713823,0.760336,0.611176337,0.354422029,0.699249905,0.111662983,1576
HVO_1287 [D4GXB9] (pfpI) protein deglycase PfpI,-0.797182066,0.140105464,-0.977303729,0.005152535,-1.063030536,0.000725734,1577
HVO_1286 [D4GXB7] HAD superfamily hydrolase,-0.296644538,0.796583823,0.529755619,0.171378338,0.42058379,0.297592875,1578
HVO_1284 [D4GXB4] (arfA) GTP cyclohydrolase 3,0.561665822,0.000825727,0.017655956,0.715215706,0.606107495,0.000241787,1579
HVO_1283 [D4GXB2] oxidoreductase (homolog to zinc-containing alcohol dehydrogenase / threonine 3-dehydrogenase),0.281388596,0.724979949,-0.7470359,0.329691587,-0.654946804,0.398214394,1580
HVO_1282 [D4GXB0] PtpS family protein,0.328398529,0.581331165,-0.246807484,0.503281217,-0.14220182,0.511467061,1581
"HVO_1281 [D4GXA9] probable glycosyltransferase, type 1",0.737944158,0.564870011,-0.612818472,0.390671536,-0.466245047,0.413985404,1582
HVO_1279 [P15093] (hdrA) dihydrofolate reductase,0.411121573,0.536561051,-0.72065055,0.069026988,-0.37577752,0.270894816,1583
HVO_1276 [D4GXA0] small CPxCG-related zinc finger protein,-0.509789186,0.669799136,0.898005312,0.353176137,1.12316485,0.175089444,1584
HVO_1274 [D4GX95] conserved hypothetical protein,1.666404549,0.466841216,0.972755967,0.34448264,0.983773702,0.323870123,1585
HVO_1273 [D4GX92] (guaB1) inosine-5'-monophosphate dehydrogenase,0.178484153,0.751116999,0.091071493,0.730012008,0.062138589,0.788386697,1586
HVO_1272 [D4GX90] TrmB family transcription regulator,0.166335377,0.762059501,-1.124973488,0.000244843,-1.604690706,0.000967734,1587
HVO_1271 [D4GX88] receiver box response regulator,0.18103964,0.795900686,0.432044944,0.099975127,0.617600278,0.018263698,1588
HVO_1268 [D4GX84] conserved hypothetical protein,0.473342157,0.477500163,-1.742911877,0.000244843,-1.591185986,0.000241787,1589
HVO_1266 [D4GX81] (aspC2) pyridoxal phosphate-dependent aminotransferase,0.461707273,0.655601728,-0.809314302,0.11424253,-0.729848754,0.115872738,1590
HVO_1265 [D4GX80] Lrp/AsnC family transcription regulator,0.192190151,0.749099241,0.784346251,0.004169622,0.559105444,0.132307776,1591
HVO_1264 [D4GX79] DUF304 domain protein,0.713281098,0.285840339,-0.537663533,0.378917199,-0.359472531,0.448006523,1592
HVO_1263 [D4GX77] DUF304 domain protein,-0.354634291,0.644766167,-0.12498355,0.37543951,-0.120218785,0.341650717,1593
