"Protein.ID","H26_vs_DksgA_PEP","H26_vs_DksgA_KsgA_PEP","H26_vs_DksgA_ksgA_E84A_PEP"
"1309","HVO_1635 [D4GZ64] conserved hypothetical protein",1,1,1
"1310","HVO_1633 [D4GZ62] DUF964 family protein",0.003299131,0.000244843,0.000241787
"1311","HVO_1632 [D4GZ61] alpha/beta hydrolase fold protein",0.719628088,0.006382156,0.001451867
"1312","HVO_1631 [D4GZ60] (dph2) 2-(3-amino-3-carboxypropyl)histidine synthase",0.382150219,0.000244843,0.000241787
"1313","HVO_1629 [D4GZ58] conserved hypothetical protein",0.84920821,0.462082291,0.548057525
"1314","HVO_1628 [D4GZ57] TIGR00725 family protein",0.624345672,0.360979308,0.342267642
"1315","HVO_1626 [D4GZ55] metal-dependent hydrolase domain protein",0.018794277,0.227378847,0.409140202
"1316","HVO_1625 [D4GZ54] conserved hypothetical protein",0.887566072,0.000244843,0.000241787
"1317","HVO_1623 [D4GZ53] conserved hypothetical protein",0.083994346,0.266599226,0.050777056
"1318","HVO_1620 [D4GZ49] XerC/D-like integrase",0.58273955,0.003924003,0.135778693
"1319","HVO_1619 [D4GZ48] conserved hypothetical protein",0.262131645,0.503965363,0.665755853
"1320","HVO_1618 [D4GZ47] hypothetical protein",0.726838977,0.130531035,0.087445865
"1321","HVO_1616 [D4GZ45] UPF0361 family protein",0.066657549,0.294220331,0.024161499
"1322","HVO_1615 [D4GZ44] ribonuclease H domain protein",0.80737156,0.000244925,0.000241787
"1323","HVO_1614 [D4GZ43] conserved hypothetical protein",0.377702348,0.176080411,0.153264299
"1324","HVO_1613 [D4GZ42] dolichyl-phosphate hexosyltransferase",0.060538514,0.000244843,0.000241787
"1325","HVO_1611 [D4GZ40] conserved hypothetical protein",0.053598743,0.00687431,0.001936178
"1326","HVO_1610 [D4GZ39] DUF583 domain protein",0.707915125,0.375755346,0.401740646
"1327","HVO_1608 [D4GZ37] GTP-binding protein",0.614492567,0.000244925,0.000241787
"1328","HVO_1607 [D4GZ36] conserved hypothetical protein",0.367204098,0.259551859,0.203135034
"1329","HVO_1605 [D4GZ34] (nhaC5) probable NhaC-type sodium/proton antiporter",0.451154943,0.152991898,0.116399863
"1330","HVO_1604 [D4GZ33] (aspC1) pyridoxal phosphate-dependent aminotransferase",0.852014329,0.000244843,0.000241787
"1331","HVO_1603 [D4GZ32] (ssuA) ABC-type transport system periplasmic substrate-binding protein (probable substrate nitrate/sulfonate/bicarbonate)",0.66591187,0.000244843,0.000241787
"1332","HVO_1602 [D4GZ31] (ssuC) ABC-type transport system permease protein (probable substrate nitrate/sulfonate/bicarbonate)",0.000825727,0.319603981,0.212702112
"1333","HVO_1601 [D4GZ30] (ssuB) ABC-type transport system ATP-binding protein (probable substrate nitrate/sulfonate/bicarbonate)",0.81419909,0.004169622,0.00290533
"1334","HVO_1599 [D4GZ28] conserved hypothetical protein",0.572087469,0.372599838,0.364334917
"1335","HVO_1598 [D4GZ27] (rad25c) DNA repair helicase Rad25",0.571369945,0.001225057,0.005817054
"1336","HVO_1597 [D4GZ26] conserved hypothetical protein",0.682446543,0.224227712,0.421119588
"1337","HVO_1596 [D4GZ25] DUF790 family protein",0.659264549,0.076765933,0.143284074
"1338","HVO_1595 [D4GZ24] conserved hypothetical protein",0.515157743,0.062609942,0.451649239
"1339","HVO_1594 [D4GZ23] (cna) tRNA/rRNA cytosine-C5-methylase",0.7968113,0.000244843,0.000241787
"1340","HVO_1593 [D4GZ22] PAC2 family protein",0.000825727,0.005644252,0.040516047
"1341","HVO_1592 [Q1XBW3] (grpE) DnaJ/DnaK ATPase stimulator GrpE",0.000825727,0.000244843,0.000241787
"1342","HVO_1591 [D4GZ20] alpha/beta hydrolase fold protein",0.285840339,0.010571032,0.211573237
"1343","HVO_1590 [Q1XBW2] (dnaK) Hsp70-type molecular chaperone DnaK",0.218479473,0.000244843,0.000241787
"1344","HVO_1589 [Q1XBW1] (dnaJ) molecular chaperone DnaJ",0.018794277,0.317776922,0.676783558
"1345","HVO_1588 [Q1XBW0] cupin 2 barrel domain protein",0.563050876,0.390671536,0.483808376
"1346","HVO_1587 [D4GZ16] conserved hypothetical protein",0.696758808,0.433330681,0.405275083
"1347","HVO_1585 [D4GZ14] (acs5) acyl-CoA synthetase",0.855990189,0.000244843,0.000241787
"1348","HVO_1584 [D4GZ13] GNAT family acetyltransferase",0.307666218,0.017250001,0.228029769
"1349","HVO_1583 [D4GZ12] conserved hypothetical protein",0.523424132,0.319908701,0.221197215
"1350","HVO_1581 [D4GZ10] (cdd) cytidine deaminase",0.676309868,0.575640757,0.582262361
"1351","HVO_1579 [D4GZ08] (udp1) uridine phosphorylase",0.879809044,0.000244843,0.000241787
"1352","HVO_1578 [D4GZ07] (ndh1) probable NADH dehydrogenase",0.113271993,0.000244843,0.000241787
"1353","HVO_1577 [D4GZ06] DUF293 domain protein",0.058231863,0.000244843,0.000241787
"1354","HVO_1576 [D4GZ05] GalE family epimerase/dehydratase<|>HVO_2040 [D4GU54] GalE family epimerase/dehydratase",0.760582613,0.52531668,0.32265168
"1355","HVO_1576 [D4GZ05] GalE family epimerase/dehydratase",0.316423438,0.596854657,0.615737126
"1356","HVO_1575 [D4GZ04] (rocF) arginase",0.892473417,0.000244843,0.000241787
"1357","HVO_1574 [D4GZ03] NUDIX family hydrolase",0.654067753,0.017746016,0.000241787
"1358","HVO_1573 [D4GZ02] (gyrA) DNA gyrase subunit A",0.933225728,0.000734904,0.046512985
"1359","HVO_1572 [D4GZ01] (gyrB) DNA gyrase subunit B",0.946771546,0.265716512,0.655177699
"1360","HVO_1571 [D4GZ00] (top6B) DNA topoisomerase 6 subunit B",0.238816636,0.000244843,0.000241787
"1361","HVO_1570 [D4GYZ9] (top6A) DNA topoisomerase 6 subunit A",0.638470469,0.099975127,0.309616334
"1362","HVO_1568 [D4GYZ7] alpha/beta hydrolase fold protein",0.743504738,0.000489893,0.079981128
"1363","HVO_1567 [D4GYZ6] metal-dependent hydrolase domain protein",0.738101169,0.022218112,0.152181911
"1364","HVO_1565 [D4GYZ4] (ligA) DNA ligase (ATP)",0.034004983,0.000244843,0.000241787
"1365","HVO_1564 [D4GYZ3] UCP012666 family protein",0.804699514,0.000979959,0.000725734
"1366","HVO_1563 [D4GYZ2] conserved hypothetical protein",1,1,1
"1367","HVO_1562 [D4GYZ1] (psmB) proteasome beta subunit",0.843130267,0.099186632,0.686349362
"1368","HVO_1561 [D4GYZ0] conserved hypothetical protein",0.690798184,1,0.384507962
"1369","HVO_1560 [D4GYY9] UPF0212 family protein",0.477500163,0.003187405,0.000241787
"1370","HVO_1559 [D4GYY8] HTH/CBS domain protein",0.84108438,0.000244843,0.000241787
"1371","HVO_1558 [D4GYY7] (cyc2) cytochrome P450",0.598679306,1,0.002178399
"1372","HVO_1557 [D4GYY6] (purM) phosphoribosylformylglycinamidine cyclo-ligase",0.819627477,0.000244843,0.000241787
"1373","HVO_1554 [D4GYY3] (traB) TraB family protein",0.111833709,0.433658252,0.396614251
"1374","HVO_1553 [D4GYY2] glycerate 2-kinase",0.45247766,0.178853367,0.000241787
"1375","HVO_1552 [D4GYJ6] ArsR family transcription regulator",0.599020662,0.000244843,0.000241787
"1376","HVO_1550 [D4GYJ4] thioesterase domain protein",0.826051952,0.248460195,0.232889248
"1377","HVO_1549 [D4GYJ3] conserved hypothetical protein",0.678949129,0.001715384,0.021946763
"1378","HVO_1548 [D4GYJ2] conserved hypothetical protein",0.721776044,0.465754354,0.455632913
"1379","HVO_1547 [D4GYJ1] (ileS) isoleucine--tRNA ligase",0.829439084,0.000244843,0.287152378
"1380","HVO_1546 [D4GYJ0] (dhaK) phosphoenolpyruvate--dihydroxyacetone phosphotransferase subunit DhaK",0.003299131,0.034967341,0.668790655
"1381","HVO_1545 [D4GYI9] (dhaL) phosphoenolpyruvate--dihydroxyacetone phosphotransferase subunit DhaL",0.899809595,0.000244843,0.000241787
"1382","HVO_1544 [D4GYI8] (dhaM) probable phosphoenolpyruvate-protein phosphoryltransferase",0.792009441,0.006136145,0.18197983
"1383","HVO_1543 [D4GYI7] (ptsH2) phosphocarrier protein HPr",0.330949794,0.004415285,0.004360392
"1384","HVO_1542 [D4GYI6] conserved hypothetical protein",0.569211766,0.37165442,0.408173004
"1385","HVO_1541 [D4GYI5] (glpK) glycerol kinase",0.638470469,0.000244843,0.000241787
"1386","HVO_1540 [D4GYI4] (glpC1) glycerol-3-phosphate dehydrogenase subunit C<|>HVO_A0271 [D4GQU8] (glpC2) glycerol-3-phosphate dehydrogenase subunit C",0.615816968,0.265422388,0.270013226
"1387","HVO_1540 [D4GYI4] (glpC1) glycerol-3-phosphate dehydrogenase subunit C",0.042684235,0.000244843,0.000241787
"1388","HVO_1539 [D4GYI3] (glpB1) glycerol-3-phosphate dehydrogenase subunit B",0.014744508,0.148091372,0.163588942
"1389","HVO_1538 [D4GYI2] (glpA1) glycerol-3-phosphate dehydrogenase subunit A<|>HVO_A0269 [D4GQU6] (glpA2) glycerol-3-phosphate dehydrogenase subunit A",0.720703274,0.435297115,0.382922203
"1390","HVO_1538 [D4GYI2] (glpA1) glycerol-3-phosphate dehydrogenase subunit A",0.000826002,0.734710665,0.735017252
"1391","HVO_1537 [D4GYI1] (orc15) Orc1-type DNA replication protein",0.566683208,0.346341455,0.238052538
"1392","HVO_1536 [D4GYI0] phosphoglycolate phosphatase",0.695346163,0.000244843,0.000241787
"1393","HVO_1535 [D4GYH9] conserved hypothetical protein",0.718010765,0.199536647,0.199493949
"1394","HVO_1534 [D4GYH8] probable S-adenosylmethionine-dependent methyltransferase",0.682446543,0.379550333,0.356527639
"1395","HVO_1533 [D4GYH7] small CPxCG-related zinc finger protein",1,1,1
"1396","HVO_1531 [D4GYH5] (aglM) UDP-glucose 6-dehydrogenase AglM",0.915441357,0.694786491,0.553707866
"1397","HVO_1530 [D4GYH4] (aglB) dolichyl-monophosphooligosaccharide--protein glycotransferase AglB",0.000825727,0.001225057,0.004360392
"1398","HVO_1529 [D4GYH3] (aglG) glucuronosyltransferase AglG",0.835302056,0.040250934,0.042761763
"1399","HVO_1528 [D4GYH2] (aglI) glycosyltransferase AglI",0.608491582,0.170550118,0.169601285
"1400","HVO_1527 [D4GYH1] (aglF) UTP--glucose-1-phosphate uridylyltransferase AglF",0.046599091,0.16311708,0.004360392
"1401","HVO_1523A [D4GYG7] (aglE) glycosyltransferase AglE",0.559394679,0.18804128,0.080494627
"1402","HVO_1523 [D4GYG6] (aglQ) N-glycosylation pathway protein AglQ",0.442263214,0.323264594,0.297892268
"1403","HVO_1522 [D4GYG5] (aglP) hexuronic acid methyltransferase AglP",0.000825727,0.069541608,0.000241787
"1404","HVO_1517 [D4GYG3] (aglJ) dolichyl-phosphate glucosyltransferase AglJ",0.672176464,0.402835268,0.3946963
"1405","HVO_1516 [D4GYG2] conserved hypothetical protein",0.638153666,0.389396567,0.40591859
"1406","HVO_1515 [D4GYG1] CopG domain protein",0.263306913,0.02945342,0.054802666
"1407","HVO_1514 [D4GYG0] conserved hypothetical protein",0.695063145,0.373861281,0.422095011
"1408","HVO_1513 [D4GYF9] beta-lactamase domain protein",0.740682086,0.360666433,0.200893264
"1409","HVO_1512 [D4GYF8] conserved hypothetical protein",0.652220884,0.247587996,0.000241787
"1410","HVO_1508 [D4GYF4] (ilvB1) acetolactate synthase large subunit",0.850613655,0.118497196,0.615369535
"1411","HVO_1507 [D4GYF3] (ilvN) acetolactate synthase small subunit",0.420387015,0.000244843,0.000241787
"1412","HVO_1506 [D4GYF2] (ilvC) ketol-acid reductoisomerase",0.827113339,0.000244843,0.000241787
"1413","HVO_1505 [D4GYF1] conserved hypothetical protein",0.713943423,0.000244843,0.000241787
"1414","HVO_1504 [Q7ZAG7] (leuC1) 3-isopropylmalate dehydratase large subunit",0.619113558,0.439894866,0.000241787
"1415","HVO_1503 [D4GYE9] (leuD1) 3-isopropylmalate dehydratase small subunit",0.697322727,0.000244843,0.000241787
"1416","HVO_1502 [D4GYE8] (leuB) 3-isopropylmalate dehydrogenase",0.874930118,0.000244843,0.000241787
"1417","HVO_1501 [D4GYE7] (glpR) DeoR family transcription regulator GlpR",0.832590093,0.000244843,0.000241787
"1418","HVO_1500 [D4GYE6] (pfkB) 1-phosphofructokinase",0.843538242,0.174972689,0.148130406
"1419","HVO_1499 [D4GYE5] (ptfC) phosphotransferase system component IIC, fructose-specific",0.644766167,0.477157315,0.435816432
"1420","HVO_1498 [D4GYE4] (ptfA) phosphotransferase system component IIA, fructose-specific",0.000825727,0.000244843,0.000241787
"1421","HVO_1497 [D4GYE3] (ptsH1) phosphocarrier protein HPr",0.000825727,0.001470199,0.198934609
"1422","HVO_1496 [D4GYE2] (ptsI) phosphotransferase system component I",0.141492249,0.000244843,0.000241787
"1423","HVO_1495 [D4GYE1] (ptfB) phosphotransferase system component IIB, fructose-specific",0.702926401,0.000244843,0.000241787
"1424","HVO_1494 [D4GYE0] (fba1) fructose-bisphosphate aldolase, class 2",0.702368923,0.000244843,0.000241787
"1425","HVO_1493 [D4GYD9] conserved hypothetical protein",0.307666218,0.123565947,0.119566842
"1426","HVO_1492 [D4GYD8] conserved hypothetical protein",0.692793105,0.021223073,0.031570608
"1427","HVO_1491 [D4GYD7] HAD superfamily hydrolase",0.756620807,0.000244843,0.000241787
"1428","HVO_1488 [D4GYD4] (gnaD) D-gluconate dehydratase<|>HVO_B0038A [D4GP40] (xacD) D-xylonate dehydratase / D-gluconate dehydratase",0.777283916,0.418010036,0.308711166
"1429","HVO_1488 [D4GYD4] (gnaD) D-gluconate dehydratase",0.759348221,0.063634719,0.000483779
"1430","HVO_1487 [D4GYD3] (galK) galactokinase",0.741453593,0.443187059,0.445032491
"1431","HVO_1486 [D4GYD1] MOSC domain protein",0.66830758,0.017002059,0.156245192
"1432","HVO_1485 [D4GYD0] ferritin domain protein",0.759348221,0.426793293,0.530179601
"1433","HVO_1484 [D4GYC8] (hemAT1) transducer protein HemAT<|>HVO_1999 [D4GTM7] (htr7) transducer protein Htr7",0.695629018,0.151084183,0.000241787
"1434","HVO_1484 [D4GYC8] (hemAT1) transducer protein HemAT",0.009858582,0.000244843,0.000241787
"1435","HVO_1483 [D4GYC5] rhodanese domain protein / beta-lactamase domain protein (nonfunctional)",0.671879912,0.263952624,0.237477923
"1436","HVO_1482 [D4GYC3] (ferA2) ferredoxin (2Fe-2S)",0.644766167,0.493053239,0.499797882
"1437","HVO_1481 [D4GYC1] UspA domain protein",0.232714045,0.000734904,0.073323215
"1438","HVO_1480 [D4GYC0] conserved hypothetical protein",0.739393405,0.005890177,0.00727532
"1439","HVO_1479 [D4GYB8] TIGR03663 family protein",0.6876469,0.263952624,0.219494154
"1440","HVO_1478 [D4GYB5] (tfb5) transcription initiation factor TFB",0.289808928,0.006628211,0.001694
"1441","HVO_1477 [D4GYB3] eDNA utilization nuclease",0.687934214,0.424185804,0.314756125
"1442","HVO_1476 [D4GYB2] conserved hypothetical protein",0.638470469,0.296019606,0.307203784
"1443","HVO_1475 [D4GYB0] probable rRNA methyltransferase",0.757366256,0.299323772,0.010196673
"1444","HVO_1473 [D4GYA8] UPF0058 family protein",0.806037589,0.000244843,0.000241787
"1445","HVO_1472 [D4GYA6] conserved hypothetical protein",0.644140038,0.00294196,0.000241867
"1446","HVO_1471 [D4GYA5] YuiH family molybdopterin-binding domain protein",0.65621403,0.388759468,0.379123151
"1447","HVO_1470 [D4GYA2] (menF) isochorismate synthase",0.821564994,0.07599014,0.393738231
"1448","HVO_1469 [D4GYA1] (menD) 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase",0.871707592,0.000244843,0.000241787
"1449","HVO_1465 [D4GY93] (menB) 1,4-dihydroxy-2-naphthoyl-CoA synthase",0.875496121,0.000489893,0.000241787
"1450","HVO_1464 [D4GY90] ABC-type transport system periplasmic substrate-binding protein<|>HVO_B0047 [D4GP49] ABC-type transport system periplasmic substrate-binding protein",0.472833467,0.407662557,0.388002486
"1451","HVO_1463 [D4GY88] (trxB4) oxidoreductase (homolog to thioredoxin-disulfide reductase)",0.674542584,0.405407995,0.366528243
"1452","HVO_1461 [D4GY84] (menC) o-succinylbenzoate synthase",0.800660479,0.22938757,0.234321638
"1453","HVO_1460 [D4GY82] (fadA2) enoyl-CoA hydratase",0.875496121,0.024958131,0.0983297
"1454","HVO_1459 [D4GY81] ThuA family protein",0.791088848,0.281089909,0.092617846
"1455","HVO_1457 [D4GY76] glycoside hydrolase domain protein",0.386567718,0.369136084,0.586589587
"1456","HVO_1455 [D4GY73] (pyrI) aspartate carbamoyltransferase regulatory subunit",0.698167389,0.009091162,0.005331322
"1457","HVO_1454 [D4GY71] (pyrB) aspartate carbamoyltransferase catalytic subunit",0.029231855,0.000244843,0.000241787
"1458","HVO_1453 [D4GY69] (gdhA2) glutamate dehydrogenase (NADP)",0.830281653,0.000244843,0.000241787
"1459","HVO_1452 [D4GY67] (citE) homolog to citrate lyase beta subunit",0.282991692,0.053420203,0.153805807
"1460","HVO_1451 [D4GY63] (gdhA1) glutamate dehydrogenase (NAD)<|>HVO_B0266 [D4GPR3] (gdhA3) glutamate dehydrogenase (NAD)",0.635612257,0.079354968,0.04701394
"1461","HVO_1451 [D4GY63] (gdhA1) glutamate dehydrogenase (NAD)",0.000825727,0.000244843,0.000241787
"1462","HVO_1450 [D4GY61] (maoC1) MaoC domain protein",0.7968113,0.002696558,0.001451867
"1463","HVO_1447 [D4GY56] (pccB1) propionyl-CoA carboxylase carboxyltransferase component",0.351908644,0.000244843,0.004603057
"1464","HVO_1446 [D4GY54] (fbp1) fructose-1,6-bisphosphatase",0.62206301,0.003432894,0.237765202
"1465","HVO_1444 [D4GY50] (hbd3) 3-hydroxyacyl-CoA dehydrogenase",0.934522043,0.000244843,0.000241787
"1466","HVO_1443 [D4GY47] ABC-type transport system ATP-binding protein",0.679825789,0.377019325,0.436472898
"1467","HVO_1442 [D4GY44] ABC-type transport system permease protein",1,1,1
"1468","HVO_1441 [D4GY42] ABC-type transport system permease protein",0.637836669,0.388759468,0.352173241
"1469","HVO_1440 [D4GY40] conserved hypothetical protein",0.183929554,0.018986827,0.082293399
"1470","HVO_1439 [D4GY39] (cysK1) cysteine synthase",0.899099923,0.000244843,0.000241787
"1471","HVO_1438 [D4GY37] YneT family protein",0.721776044,0.001470199,0.012880243
"1472","HVO_1437 [D4GY35] conserved hypothetical protein",0.858357342,0.000734904,0.000241787
"1473","HVO_1425 [D4GY14] conserved hypothetical protein",0.36871423,0.44351665,0.505964909
"1474","HVO_1424 [D4GY13] conserved hypothetical protein",0.001651191,0.349444416,0.005088523
"1475","HVO_1423 [D4GY11] homolog to phage PhiH1 repressor protein",0.752624562,0.500206096,0.459960149
"1476","HVO_1419 [D4GY03] HTH-10 family transcription regulator",0.010674897,0.013040988,0.530179601
"1477","HVO_1416 [D4GXZ9] APH family phosphotransferase",0.710938688,1,0.332733864
"1478","HVO_1415 [D4GXZ7] HAD superfamily hydrolase",0.720434704,0.355045348,0.090288032
"1479","HVO_1414 [D4GXZ6] sensor box histidine kinase",0.606139503,0.346031498,1
"1480","HVO_1413 [D4GXZ5] (ndh2) probable NADH dehydrogenase",0.512375868,0.001715384,0.000241787
"1481","HVO_1412 [D4GXZ3] (mvaD) phosphomevalonate decarboxylase",0.889208669,0.752443571,0.627914311
"1482","HVO_1410 [D4GXZ0] conserved hypothetical protein",1,1,1
"1483","HVO_1409 [D4GXY8] YwrF family protein",0.660479652,0.433985891,0.398854923
"1484","HVO_1407 [D4GXY3] HTH domain protein",0.81419909,0.002205884,0.000241787
"1485","HVO_1405 [D4GXX9] conserved hypothetical protein",0.66501054,0.393543982,0.38514273
"1486","HVO_1402 [D4GXX4] (pmm3) phosphohexomutase (phosphoglucomutase / phosphomannomutase)",0.746310405,0.543440188,0.452644197
"1487","HVO_1401 [D4GXX3] (tsgA11) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)",0.906313113,0.153537417,0.001694
"1488","HVO_1400 [D4GXX2] (tsgD11) ABC-type transport system ATP-binding protein (probable substrate sugar)",0.675132373,0.447477021,0.193631834
"1489","HVO_1399 [D4GXX1] (tsgB11) ABC-type transport system permease protein (probable substrate sugar)",0.447613676,0.354110463,0.375964553
"1490","HVO_1398 [D4GXX0] (tsgC11) ABC-type transport system permease protein (probable substrate sugar)",0.613497092,0.407340281,0.381021484
"1491","HVO_1397 [D4GXW7] histidine kinase",0.67924152,1,1
"1492","HVO_1396 [D4GXW9] FAD-dependent oxidoreductase (homolog to geranylgeranyl reductase)",0.908918733,0.000244843,0.000241787
"1493","HVO_1395 [D4GXW6] M20 family amidohydrolase (homolog to indole-3-acetyl-aspartate hydrolase)<|>HVO_B0263 [D4GPR0] M20 family amidohydrolase (homolog to indole-3-acetyl-aspartate hydrolase)",0.710390355,0.417685658,0.418197038
"1494","HVO_1395 [D4GXW6] M20 family amidohydrolase (homolog to indole-3-acetyl-aspartate hydrolase)",0.016366788,0.24149669,0.404631848
"1495","HVO_1394 [D4GXW4] (nhaC3) probable NhaC-type sodium/proton antiporter",0.45599098,0.236872179,0.171519708
"1496","HVO_1393 [D4GXW2] conserved hypothetical protein",0.772025425,0.466422899,0.279444439
"1497","HVO_1392 [D4GXW0] (rps10b) 30S ribosomal protein S10b",0.745801541,0.353487517,0.446353577
"1498","HVO_1391 [D4GXV8] NUDIX family hydrolase",0.000825727,0.029703582,0.272365319
"1499","HVO_1390 [D4GXV6] conserved hypothetical protein",0.655295302,0.364111507,0.059851628
"1500","HVO_1389 [D4GXV4] probable S-adenosylmethionine-dependent methyltransferase",0.504757415,0.000244843,0.000483779
"1501","HVO_1388 [D4GXV3] conserved hypothetical protein",0.692793105,0.176080411,0.000241787
"1502","HVO_1387 [D4GXV2] (fadA1) enoyl-CoA hydratase",0.536942899,0.000244843,0.000241787
"1503","HVO_1385 [D4GXU9] (tfs1) transcription elongation factor TFS",0.795216487,0.000244843,0.000241787
"1504","HVO_1383 [D4GXU5] (trmI) tRNA (adenine-N(1))-methyltransferase TrmI",0.319137129,0.46809547,0.615369535
"1505","HVO_1382 [D4GXU3] (nac) nascent polypeptide-associated complex protein",0.005764968,0.000244843,0.000241787
"1506","HVO_1381 [D4GXU0] probable methyltransferase",0.546406618,0.018986827,0.003390173
"1507","HVO_1380 [D4GXT9] (mmcA2) methylmalonyl-CoA mutase subunit A",0.769131138,0.000244843,0.000241787
"1508","HVO_1377 [D4GXT4] UPF0145 family protein",0.594910057,0.352864819,0.294303569
"1509","HVO_1376 [D4GXT1] (mce) methylmalonyl-CoA epimerase",0.731848469,0.446155813,0.460293513
"1510","HVO_1375 [D4GXS9] (menE) o-succinylbenzoate--CoA ligase",0.220975185,0.514261981,0.001936178
"1511","HVO_1374 [D4GXS7] (acs4) acyl-CoA synthetase",0.695063145,0.000244843,0.000241787
"1512","HVO_1373 [D4GXS5] (acd4) acyl-CoA dehydrogenase",0.843945818,0.000244843,0.000241787
"1513","HVO_1372 [D4GXS3] (proC) pyrroline-5-carboxylate reductase",0.840673996,0.017250001,0.003875193
"1514","HVO_1371 [D4GXS1] (proB) glutamate 5-kinase",0.418528929,0.043279079,0.000241787
"1515","HVO_1370 [D4GXR9] (proA) gamma-glutamyl phosphate reductase",0.579919147,0.668168794,0.717333781
"1516","HVO_1369 [D4GXR8] DUF124 family protein",0.259775234,0.000244843,0.000967734
"1517","HVO_1368 [D4GXR6] beta-lactamase domain protein",0.748087057,0.123565947,0.069751651
"1518","HVO_1366 [D4GXR2] UPF0033 family protein",1,0.289432574,0.341959147
"1519","HVO_1365 [D4GXQ9] rhodanese domain protein / beta-lactamase domain protein",0.707087227,0.374492383,0.388956939
"1520","HVO_1360 [D4GXQ1] TrmB family transcription regulator",0.696758808,0.087150411,0.176189646
"1521","HVO_1359 [D4GXP8] small CPxCG-related zinc finger protein",0.232714045,0.487285713,0.427307775
"1522","HVO_1358 [D4GXP7] receiver box response regulator",0.579565573,0.289133836,0.153535027
"1523","HVO_1357 [D4GXP4] receiver/bat box HTH-10 family transcription regulator",0.030029302,0.054438339,0.026379919
"1524","HVO_1356 [D4GXP2] sensor box histidine kinase",0.85460301,0.604470443,0.601097896
"1525","HVO_1354 [D4GXN9] (mutS5b) DNA mismatch repair protein MutS",0.904040548,0.000244925,0.000241787
"1526","HVO_1351 [D4GXN3] (rad3a) DNA repair helicase Rad3",0.728426655,0.101290249,0.010684192
"1527","HVO_1350 [D4GXN2] ArsR family transcription regulator",0.697885997,0.457088346,0.422745639
"1528","HVO_1348 [D4GXM8] (nnrDE) bifunctional NAD(P)H-hydrate repair enzyme Nnr",0.901225056,0.000244843,0.000241787
"1529","HVO_1347 [D4GXM7] (moaC) probable cyclic pyranopterin monophosphate synthase",0.216602063,0.072633252,0.006789053
"1530","HVO_1346 [D4GXM6] (hflX) ribosome-associating GTPase HflX",0.000825727,0.524277141,0.18142736
"1531","HVO_1345 [D4GXM3] FUN14 family protein",1,0.159003832,0.128047762
"1532","HVO_1344 [D4GXM1] (sdo1) ribosome maturation protein Sdo1",0.703204901,0.000244843,0.000241787
"1533","HVO_1342 [D4GXL8] (trxA2) thioredoxin",0.590767954,0.000244843,0.000241787
"1534","HVO_1341 [D4GXL5] (arfC) 2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase",0.7968113,0.026954253,0.001936178
"1535","HVO_1340 [D4GXL3] probable glycosyltransferase, type 1",0.756123169,0.529481406,0.547705041
"1536","HVO_1339 [D4GXL2] conserved hypothetical protein",0.652220884,0.419308212,0.307505137
"1537","HVO_1338 [D4GXL0] (rpa1) replication protein A<|>HVO_2734 [D4GW68] GNAT family acetyltransferase",0.70736335,0.349444416,0.403346192
"1538","HVO_1338 [D4GXL0] (rpa1) replication protein A",0.936136089,0.000244843,0.000241787
"1539","HVO_1337 [D4GXK9] (rpap1) rpa-associated protein",0.858553988,0.017497986,0.023176718
"1540","HVO_1336 [D4GXK7] (rpe) rpa-associated phosphoesterase",1,1,1
"1541","HVO_1333 [D4GXK1] (lhr2) ATP-dependent DNA helicase",0.658960318,0.203482389,0.142477988
"1542","HVO_1332 [D4GXJ9] conserved hypothetical protein",0.232714045,0.582084397,0.610598392
"1543","HVO_1331 [D4GXJ8] ArsR family transcription regulator",0.711760021,0.287939467,0.286558016
"1544","HVO_1327 [D4GXI7] (cdc48c) AAA-type ATPase (CDC48 subfamily)<|>HVO_2700 [D4GVS7] (cdc48b) AAA-type ATPase (CDC48 subfamily)",0.715574497,0.377651695,0.389593575
"1545","HVO_1327 [D4GXI7] (cdc48c) AAA-type ATPase (CDC48 subfamily)<|>HVO_2380 [D4GWM8] (cdc48a) AAA-type ATPase (CDC48 subfamily)<|>HVO_2700 [D4GVS7] (cdc48b) AAA-type ATPase (CDC48 subfamily)",0.733419447,0.15544834,0.106157134
"1546","HVO_1327 [D4GXI7] (cdc48c) AAA-type ATPase (CDC48 subfamily)",0.002475567,0.000244843,0.000241787
"1547","HVO_1326 [D4GXI6] small CPxCG-related zinc finger protein",0.681283468,0.364738699,0.37501826
"1548","HVO_1325 [D4GXI5] conserved hypothetical protein",0.492523052,0.320518321,0.481102945
"1549","HVO_1324 [D4GXI4] conserved hypothetical protein",0.481291527,0.144833475,0.212137563
"1550","HVO_1323 [D4GXI3] (aroK) shikimate kinase, archaeal-type",0.758605987,0.342626042,0.473350841
"1551","HVO_1322 [D4GXI0] (aroQ) chorismate mutase",0.808701447,0.000489893,0.000241787
"1552","HVO_1318 [D4GXH3] (aacC) aminoglycoside N3'-acetyltransferase",0.713943423,0.556810888,0.410753562
"1553","HVO_1314 [D4GXG7] (surE1) 5'-nucleotidase SurE",0.690798184,0.655761809,0.669170397
