Protein_ID,H26_Exponential_vs_H26_Stationary,H26_Exponential_vs_H26_Stationary_PEP,H26_Exponential_vs_HVABI_Exponential,H26_Exponential_vs_HVABI_Exponential_PEP,H26_Exponential_vs_HVLON3_Exponential,H26_Exponential_vs_HVLON3_Exponential_PEP,H26_Stationary_vs_HVABI_Stationary,H26_Stationary_vs_HVABI_Stationary_PEP,H26_Stationary_vs_HVLON3_Stationary,H26_Stationary_vs_HVLON3_Stationary_PEP,Row_Number
HVO_2004 [D4GTN2] (cysE) serine O-acetyltransferase,-0.29827709,0.734107932,-1.961599897,0.615155675,-0.358784394,0.920297169,-2.417503171,0.417427229,-2.892420158,0.000549208,924
HVO_2003 [D4GTN1] conserved hypothetical protein,0,1,0,1,0,1,0,1,0,1,925
HVO_2001 [Q9C4M3] (tgtA1) tRNA-guanine(15) transglycosylase,-0.48257757,0.788986964,-0.108990108,0.741756206,0.014613657,0.947229551,0.452987195,0.489794652,0.396504014,0.603764706,926
HVO_1999 [D4GTM7] (htr7) transducer protein Htr7,-0.905005301,0.696575306,0.401100228,0.618789643,0.058030224,0.912628142,1.317519576,0.456469056,2.338328408,0.000549208,927
HVO_1998 [D4GTM6] DASS family transport protein,-1.685912595,0.125147914,1.33067635,0.673113245,-1.113688143,0.893712048,2.347736625,0.255843141,1.338050403,0.002744582,928
HVO_1997 [D4GTM5] Abi/CAAX domain protein,0.244482391,0.739569104,2.524813554,0.431882576,0.674750908,0.898808495,-0.419445591,0.468954677,0.749690495,0.591224708,929
HVO_1995 [D4GTM3] conserved hypothetical protein,-1.551241391,0.740599787,-2.849869358,0.53181101,-0.630290185,0.752330942,-1.480095926,0.495156137,-1.315441701,0.557647419,930
HVO_1994 [D4GTM2] conserved hypothetical protein,0,1,0,1,0,1,22.57530037,1,18.14646948,1,931
HVO_1991 [D4GTL9] ABC-type transport system periplasmic substrate-binding protein,-2.300773349,0.429274501,0.449441411,0.649472254,-0.841729622,0.898684303,2.178888188,0.000375006,2.665292562,0.338650405,932
HVO_1989 [D4GTL8] (trmY) tRNA (pseudouridine(54)-N(1))-methyltransferase,0.864740223,0.71720267,-0.549146882,0.667755397,-0.124213685,0.911984656,-0.961850865,0.484762096,-0.102121251,0.573920769,933
HVO_1988 [D4GTL7] GATase domain protein,-1.397783539,0.683565297,1.166841089,0.474655372,1.58614918,0.830449868,2.068919933,0.116269472,3.931992639,0.000549208,934
HVO_1987 [D4GTL6] (sppA2) signal peptide peptidase SppA,-0.77109677,0.753976194,-0.082740454,0.730848627,2.634527042,0.004000598,1.463187667,0.266098694,3.805267161,0.000549208,935
HVO_1985 [D4GTL4] ABC-type transport system ATP-binding protein,-1.767612338,0.001086455,1.098543591,0.004144936,-0.138069294,0.920003127,2.39168009,0.000375006,1.598506909,0.0234113,936
HVO_1984 [D4GTL3] (aceA) isocitrate lyase,0,1,0,1,0,1,0,1,0,1,937
HVO_1983 [D4GTL2] (aceB1) bifunctional malyl-CoA synthase / malyl-CoA thioesterase,0.152748226,0.736719043,1.036428652,0.662944271,1.430340524,0.897684945,1.819570921,0.445641073,1.165441831,0.582121096,938
HVO_1981 [D4GTL0] conserved hypothetical protein,-1.618515443,0.633879398,0.310565552,0.678999602,-0.677160114,0.901258991,1.627649189,0.341037887,-0.11424274,0.539398939,939
HVO_1979 [D4GTK8] (pus10) tRNA pseudouridine synthase Pus10,0.02246094,0.808879099,-0.8410153,0.402901774,0.105947389,0.942798193,-1.131702821,0.376993033,-0.817026328,0.405891897,940
"HVO_1978 [D4GTK7] (rnhB) ribonuclease H, type 2",-2.50924678,0.669157016,5.040538388,1,-0.144650411,0.903647626,-0.616162233,0.46322259,9.171727133,1,941
HVO_1976 [D4GTK5] (secD) protein-export membrane protein SecD,-1.559044705,0.117851456,1.771218131,0.00083036,-0.190986111,0.924029442,2.968918782,0.000375006,1.987201709,0.000549208,942
HVO_1975 [D4GTK4] (secF) protein-export membrane protein SecF,-0.84628078,0.687158311,2.929233668,0.00083036,0.281485163,0.911553072,4.484330471,0.000375006,1.973794069,0.120400854,943
HVO_1973 [D4GTK2] conserved hypothetical protein,-0.047027894,0.772759492,-0.735167096,0.580575983,-0.700698705,0.840759712,-1.31680295,0.000375006,-1.642109862,0.000549208,944
HVO_1972 [D4GTK1] GNAT family acetyltransferase,-0.888267652,0.725352376,1.05068868,0.666256867,0.174819482,0.914635589,2.103508346,0.323993021,1.740548531,0.496197336,945
HVO_1971 [D4GTK0] (pgsA4) CDP-alcohol 1-archaetidyltransferase,-0.805831932,0.689534798,8.590430134,1,23.96151369,1,11.33702375,1,7.923606951,1,946
HVO_1969 [D4GTJ8] conserved hypothetical protein<|>HVO_2961 [Q04829] (lpdA) dihydrolipoyl dehydrogenase<|>HVO_A0345 [-] (cat4) transport protein (probable substrate cationic amino acids) (nonfunctional),0.455883113,0.745708155,-1.55097611,0.674000654,-0.074863447,0.925513701,-0.825759949,0.502517123,-0.539816434,0.583100545,947
HVO_1968 [D4GTJ7] conserved hypothetical protein,-1.248455781,0.713890645,1.774413362,0.649782439,-0.849252252,0.892395309,2.876397401,0.000375006,1.344786763,0.554964955,948
HVO_1967 [D4GTJ6] (pgi) glucose-6-phosphate isomerase,0.057741136,0.807618806,-0.645184494,0.398581708,0.584747591,0.524945545,-0.648515159,0.221006942,-0.03629294,0.711762611,949
HVO_1966 [D4GTJ5] Abi/CAAX domain protein,0.68592046,0.704624492,2.003995503,0.002489434,0.689849865,0.889708252,1.224438354,0.398970759,0.546210267,0.603764706,950
HVO_1965 [D4GTJ4] (nob1) rRNA maturation endonuclease Nob1,0,1,0,1,0,1,1.087713867,0.448689226,1.065339813,0.554964955,951
HVO_1964 [D4GTJ3] PRC domain protein,-1.620310778,0.732795111,0.711139062,0.120303046,-0.163105664,0.901741591,1.25494548,0.004499501,1.879987004,0.000549208,952
HVO_1963 [D4GTJ2] (tif5B) translation initiation factor aIF-5B (bacterial-type IF2),0.217482601,0.823020542,-0.681675641,0.11166786,-0.610722452,0.133892804,-1.132928512,0.000375131,-1.43138403,0.000549208,953
HVO_1959 [D4GTI8] histidine kinase,-2.842805363,0.718847408,-0.34627229,0.640709817,-1.066560748,0.909363468,2.513311937,0.000375006,2.907337411,0.001098545,954
HVO_1957 [Q5UT56] (panB) proteasome-activating nucleotidase,1.138160228,0.597843712,0.822130983,0.487291917,0.943371792,0.687961414,-0.377074749,0.521196617,-0.617991039,0.577537352,955
HVO_1955 [D4GTI4] (citB1) aconitate hydratase,0.640768217,0.07133422,-0.322859032,0.47932001,-0.106698821,0.957525073,-0.466236982,0.104558442,-0.378785458,0.395363393,956
HVO_1949 [D4GTH8] conserved hypothetical protein,0.345503534,0.695702457,0.667507246,0.67192757,-0.462161042,0.917613704,-1.213060142,0.000375131,-1.637820411,0.511738677,957
HVO_1948 [D4GTH7] NUDIX family hydrolase,-2.830055825,0.711665758,-1.307689993,0.675770738,-0.045729953,0.89979627,2.170695603,0.029911667,1.951693443,0.496197336,958
"HVO_1946 [D4GTH5] (tif1a) translation initiation factor aIF-1 (SUI1 protein, bacterial-type IF3)",-0.904017157,0.728827267,-1.85914365,0.397617689,-0.402604127,0.928048444,-0.484779112,0.50051085,0.311295652,0.621177774,959
HVO_1945 [D4GTH4] conserved hypothetical protein,-2.288043812,0.68536607,-0.622410375,0.685394801,-0.893701194,0.903056138,2.689565915,0.28090885,2.252229015,0.472069709,960
HVO_1944 [D4GTH3] probable transmembrane glycoprotein / HTH domain protein,-1.079964949,0.623501093,0.892204644,0.014826079,0.152913171,0.919114874,1.743015835,0.018718194,2.20193041,0.000549208,961
HVO_1943 [D4GTH2] endoisopeptidase/DUF4129 domain protein,-2.045067014,0.001086455,-0.440876888,0.41192617,-0.338462911,0.930592893,2.034163612,0.000375006,1.987997709,0.000549208,962
HVO_1942 [D4GTH1] conserved hypothetical protein,-0.324853544,0.732531963,18.17087341,1,16.33232511,1,16.1166182,1,1.854320063,0.551601658,963
HVO_1941 [D4GTH0] AAA-type ATPase (MoxR subfamily),1.379995864,0.659029732,-2.8372642,0.606128474,-1.065577452,0.893450103,-2.355946684,0.354556264,-0.985069821,0.588632318,964
HVO_1940 [D4GTG9] (mutS1a) DNA mismatch repair protein MutS,-0.538575847,0.736979095,-0.450664968,0.604101401,-0.307579794,0.898808495,0.301938625,0.52219498,0.280181404,0.568305237,965
HVO_1939 [D4GTG8] (mutLa) DNA mismatch repair protein MutL,-5.50E-05,0.720484697,-1.088914692,1,-0.430620568,0.912092227,10.83534555,1,6.488342608,1,966
"HVO_1937 [D4GTG6] (mer) probable 5,10-methylenetetrahydrofolate reductase",-2.694451708,0.70405532,-2.676407331,0.617140949,-0.02515483,0.909805665,0.794540992,0.445641073,1.074546376,0.562990678,967
HVO_1936 [D4GTG5] (cofE) coenzyme F420:L-glutamate ligase,0.195693853,0.750242471,-0.011476873,0.697377343,-0.075076915,0.911661164,0.338170369,0.520198019,-0.458194298,0.618349805,968
HVO_1932 [D4GTG1] (ddh) D-2-hydroxyacid dehydrogenase (NADP),0.975154959,0.103950361,0.357114464,0.719950546,0.373120012,0.87012987,-0.845930051,0.17869002,-0.250823902,0.633026983,969
HVO_1931 [D4GTG0] (engB) probable GTP-binding protein EngB,0,1,0,1,0,1,0,1,0,1,970
HVO_1928 [D4GTF7] probable COG0212-type thiamine metabolism protein,0,1,0,1,0,1,-1.541689957,0.444285639,-1.273160794,0.529115119,971
HVO_1927 [D4GTF6] DUF389 family protein,-1.200712568,0.709146449,0.613766217,0.668652369,-0.033128052,0.900773917,2.093832168,0.325038519,0.694608898,0.551601658,972
HVO_1925 [D4GTF4] probable GTP-binding protein,-0.625121489,0.7764864,-1.730047106,0.225679828,-0.31260771,0.779994495,-0.711257104,0.435804401,-1.377126182,0.464756743,973
HVO_1923 [D4GTF2] probable 16S rRNA maturation protein,0,1,0,1,0,1,2.251393704,0.477370202,2.938418526,0.487260562,974
HVO_1921 [D4GTF0] (serS) serine--tRNA ligase,0.40723397,0.532381998,-0.569898322,0.100003434,0.288735143,0.785433539,-0.952276361,0.000375006,-0.378232997,0.250189486,975
HVO_1920 [D4GTE9] DASS family transport protein,0.728300147,0.659029732,0.777436746,0.608147849,0.404624204,0.907346499,3.130548649,0.048134272,0.900187237,0.538716621,976
HVO_1918 [D4GTE7] beta-lactamase domain protein,0.093248426,0.762774766,-2.080148906,0.326836846,-0.431967795,0.914321641,-0.720518254,0.519865101,-1.47648442,0.543822699,977
HVO_1917 [D4GTE6] (acs6) acyl-CoA synthetase,-0.272913621,0.727227668,0.826127962,0.032593123,-0.035249136,0.953589685,2.256922307,0.000375006,1.378278829,0.000549208,978
HVO_1916 [D4GTE5] (kef1) Kef-type transport system,-1.362776096,0.016132027,1.173448641,0.00083036,-0.969467079,0.133892804,2.48906524,0.000375006,1.301350904,0.003292788,979
HVO_1914 [D4GTE3] (acaB3) acetyl-CoA C-acyltransferase,3.431918047,0.001086455,-1.0235946,0.350079575,0.413681839,0.922518234,-0.895842217,0.069238769,-1.022471889,0.177374469,980
HVO_1911 [-] (nasD) nitrite reductase (ferredoxin) (nonfunctional),1.267753173,0.685066535,1.508465325,0.43914751,1.377605574,0.887922227,1.667904166,0.391428605,1.356094142,0.57457932,981
HVO_1907 [D4GTE0] (cdc48d) arNOG05511 family protein (AAA-type ATPase core domain protein),-0.472169731,0.569332247,-0.544407126,0.385442898,-0.351199268,0.72430699,-0.454708453,0.343814344,-0.558028373,0.188731586,982
HVO_1905 [D4GTD8] beta-lactamase domain protein,0,1,0,1,0,1,8.243121896,1,-0.276002278,0.545179926,983
HVO_1901 [D4GTD4] (tif2c) translation initiation factor aIF-2 gamma subunit,-0.372308378,0.766374765,-0.687264675,0.344868065,-0.267599258,0.872563094,-1.145051281,0.014232954,-0.684124348,0.331609588,984
HVO_1899 [D4GTD2] (rpoE1) DNA-directed RNA polymerase subunit E,1.998564907,0.446672572,0.272196229,0.697095436,0.217393396,0.920101254,-2.147701515,0.292861169,-2.119445526,0.292281569,985
HVO_1896 [D4GTC9] (rps24e) 30S ribosomal protein S24e,0.640986728,0.728827267,-0.307804501,0.651948464,0.558854695,0.90745973,-0.927345689,0.482411525,-0.274720477,0.610450464,986
HVO_1895 [D4GSZ6] (kae1) KEOPS complex subunit Kae1/Bud32,-0.696771161,0.80402057,-1.098111696,0.338031247,-1.203689646,0.772661032,-1.743909343,0.023198944,-1.032813812,0.453318962,987
HVO_1894 [D4GSZ5] conserved hypothetical protein,-1.79405395,0.68145353,-0.862871211,0.630831297,-0.594940791,0.914216743,0.336301942,0.493146375,1.154371497,0.58570763,988
HVO_1893 [D4GSZ4] (ham1) XTP/dITP diphosphatase,4.267782998,1,-1.642412892,0.605115903,0.259304805,0.90065226,0,1,0,1,989
HVO_1888 [D4GSY9] (tupA) ABC-type transport system periplasmic substrate-binding protein (probable substrate tungstate),-0.674697845,0.691012518,0.647572044,0.517744237,-0.284405427,0.920492634,1.955427236,0.000375006,1.414895555,0.000549208,990
HVO_1886 [D4GSY7] (tupC) ABC-type transport system ATP-binding protein (probable substrate tungstate),-1.634738734,0.720756858,0.351511522,0.707970048,-0.3230177,0.93085157,2.83374283,0.131593336,2.313088692,0.433847515,991
HVO_1885 [D4GSY6] (trkA3) TrkA domain protein,0,1,0,1,0,1,0,1,0,1,992
HVO_1880 [D4GSY2] conserved hypothetical protein<|>HVO_2486 [D4GTB5] (pccA) propionyl-CoA carboxylase biotin carboxylase component<|>decoy_HVO_A0330 [D4GR07] GFO family oxidoreductase<|>decoy_HVO_A0562 [D4GRM3] (hutU) urocanate hydratase,0,1,0,1,0,1,0,1,0,1,993
HVO_1880 [D4GSY2] conserved hypothetical protein,0.173623815,0.779942869,-1.383177715,0.54591498,-0.972453729,0.004000598,-2.660107767,0.183372104,-2.681031347,0.251528691,994
HVO_1879 [D4GSY1] (fadA3) enoyl-CoA hydratase,2.192858907,0.621041012,-0.161250891,0.628574357,0.792999121,0.893450103,-1.30463739,0.000375006,-0.598160728,0.605679641,995
"HVO_1878 [D4GSY0] (nadE) NAD synthase, ammonia-dependent",-0.067632802,0.779484082,-0.96154768,0.217553781,0.759232461,0.678437152,-0.235172706,0.545754223,1.836169585,0.000549208,996
HVO_1875 [D4GSX8] O-acetyltransferase (homolog to galactoside O-acetyltransferase),0.261644702,0.757914655,0.000940958,0.732684329,-0.792826921,0.855805445,-0.541183657,0.49649545,-0.563993929,0.572272462,997
HVO_1874 [D4GSX7] probable oxidoreductase (aldo-keto reductase family protein),0.528747861,0.63490277,-0.802120569,0.55598839,0.114456585,0.93753273,-1.71162889,0.02618362,-1.85767247,0.000549208,998
HVO_1871 [D4GSX4] (hemQ) coproheme decarboxylase HemQ,0.103562895,0.839406011,0.939572641,0.00083036,0.166440934,0.937611721,0.930050055,0.013858981,0.381731838,0.601525823,999
HVO_1870 [D4GSX3] M50 family metalloprotease,-1.399360215,0.221800091,0.945086503,0.380011851,-0.495200879,0.873680304,2.481961938,0.000375006,1.324369383,0.410151738,1000
HVO_1869 [D4GSX2] conserved hypothetical protein,-0.057137765,0.718573804,1.379663773,0.662037037,-1.024965575,0.881043082,2.363445926,0.422199275,0.0944517,0.580813639,1001
HVO_1868 [D4GSX1] conserved hypothetical protein,0.023059655,0.755211827,1.228169633,0.206788395,0.379388832,0.921559717,0.995043505,0.421858591,0.704586004,0.57688078,1002
HVO_1867 [D4GSX0] (lysS) lysine--tRNA ligase,1.313174154,0.449256626,-1.171982569,0.628897377,0.462286599,0.828609625,-2.214566187,0.000375006,-2.316671226,0.000549208,1003
HVO_1866 [D4GSW9] (pyrH) uridylate kinase,0.242432735,0.79582794,-1.028186173,0.445434731,-0.208063774,0.947919504,-1.707142702,0.066652367,-1.399974091,0.192023557,1004
HVO_1864 [D4GSW7] (moaE) molybdopterin synthase catalytic subunit,1.374375303,0.7009091,8.746488973,1,0.169631391,0.908472549,3.468840737,1,0.518797113,1,1005
HVO_1862 [D4GSW5] M50 family metalloprotease,17.24238712,1,2.548783285,0.00083036,0.648515898,0.890656974,0,1,0,1,1006
HVO_1861 [D4GSW4] (thiL) thiamine-monophosphate kinase,0.812058016,0.781543628,-1.270529938,0.00083036,-0.520470702,0.9177146,-2.646802764,0.000375006,-2.743490161,0.23490164,1007
HVO_1859 [D4GSW2] UPF0104 family protein,-2.468220218,0.681755931,1.801937607,0.625007857,-0.868770617,0.889162069,4.338700624,0.138508152,1.279510254,0.51663425,1008
HVO_1858 [D4GSW1] (rps19e) 30S ribosomal protein S19e,-1.090553854,0.161314757,0.556605203,0.559306181,-0.393542126,0.90400073,1.311064037,0.018718194,0.293294671,0.63642978,1009
HVO_1854 [D4GSV7] (hisS) histidine--tRNA ligase,-0.174927,0.822017067,-1.274390299,0.00083036,-0.022358886,0.957225787,-0.999153219,0.000375006,-0.664941766,0.162541595,1010
HVO_1853 [D4GSV6] UspA domain protein,0,1,0,1,0,1,2.964038653,0.29145672,3.71270079,0.177374469,1011
HVO_1851 [D4GSV4] HAD superfamily hydrolase,-0.637474623,0.744692443,0.124841468,0.720756538,1.972936646,0.9053999,0.817370911,0.485769084,0.584053955,0.541102701,1012
HVO_1849 [D4GSV2] (ywaD2) probable M28 family peptidase (homolog to aminopeptidase YwaD),0.647884781,0.706043587,0.547402925,0.648229625,-0.354357004,0.921944434,0.039127943,0.505190676,-0.277241868,0.557647419,1013
HVO_1847 [D4GSV0] (pepF) oligoendopeptidase PepF,0.072744634,0.797570145,-0.793682862,0.24166211,-0.261248926,0.902341391,-0.621280185,0.393486872,-0.381679206,0.586683499,1014
HVO_1839 [D4GSU3] XerC/D-like integrase,0,1,0,1,0,1,0,1,0,1,1015
HVO_1838 [-] DUF262/DUF1524 domain protein (nonfunctional),1.051430958,0.681755931,8.957346967,1,0.225343276,0.905284105,1.367356609,1,3.394965086,1,1016
HVO_1832 [D4GSU0] MATE efflux family protein,-0.225884153,0.706892426,1.74891866,0.013191752,0.592228266,0.583100689,2.269935162,0.364235679,0.361615623,0.565319315,1017
HVO_1831 [D4GST9] (ferA4) ferredoxin (2Fe-2S),-1.310745822,0.507484483,1.788688537,0.00083036,0.328519553,0.906892168,2.993434918,0.000375006,1.681877027,0.064273838,1018
"HVO_1830 [D4GST8] (gndA) 6-phosphogluconate dehydrogenase (NAD-dependent, decarboxylating)",0.560910649,0.727494766,0.091400473,0.744060653,0.042366507,0.937295267,-0.785118908,0.481403739,-0.061654843,0.634575214,1019
HVO_1829 [D4GST7] (pepB2) aminopeptidase (homolog to leucyl aminopeptidase / aminopeptidase T),0.111850385,0.783817044,-0.355946711,0.666856817,-0.072792675,0.936498372,-0.047888762,0.59117163,0.018263351,0.649006763,1020
HVO_1827 [D4GST5] (rps6e) 30S ribosomal protein S6e,-0.056507113,0.750242471,0.94003658,0.606128474,1.904450728,0.769907689,1.275589647,0.429687456,1.455865385,0.47969311,1021
HVO_1825 [D4GST3] conserved hypothetical protein,8.104435199,1,0.988340559,0.67252076,1.368173431,0.90198197,0,1,0,1,1022
HVO_1824 [D4GST2] conserved hypothetical protein,-0.186645351,0.825017776,-0.94906175,0.013191752,0.033923879,0.953526346,-1.186903901,0.004499501,-0.514787953,0.464022603,1023
HVO_1823 [D4GST1] UspA domain protein,1.240155126,0.714721486,2.09654523,0.449886413,-0.475095178,0.915880268,0.091634439,0.542775114,1.855715252,0.044274965,1024
HVO_1821 [D4GSS9] (pat2) GNAT family acetyltransferase Pat2,0,1,0,1,0,1,-1.065189582,0.45275004,-0.032742983,0.590253369,1025
HVO_1819 [D4GSS7] conserved hypothetical protein,0,1,0,1,0,1,0,1,0,1,1026
HVO_1816 [D4GSE0] (pyrC) dihydroorotase,0.413974492,0.640988976,-1.352694098,0.509778047,0.47497273,0.273757661,-1.305200185,0.212790715,-1.169888236,0.228091969,1027
HVO_1812 [D4GSD6] probable ketohexokinase,0.484930754,0.783136665,-1.031668592,0.704927548,-0.068838953,0.942798193,-1.943050071,0.286185988,-1.868903024,0.455542546,1028
HVO_1811 [D4GSD5] sensor box histidine kinase,0,1,0,1,0,1,1.127571065,0.014232954,1.261247955,0.018547013,1029
HVO_1809 [D4GSD3] (entB2) isochorismatase family protein,0.163735146,0.722385521,13.92392133,1,0.124126087,0.904118135,2.407244413,1,-2.64312827,0.486542246,1030
HVO_1808 [D4GSD2] conserved hypothetical protein,-0.584738869,0.726425175,0.959219979,0.65256564,0.88501037,0.892660065,1.230296598,0.471986186,1.403907006,0.54687387,1031
HVO_1806 [D4GSD0] conserved hypothetical protein,-1.356055683,0.136834665,1.121131155,0.645735264,0.143985376,0.927332214,2.301985639,0.000375006,3.188574239,0.000549208,1032
HVO_1804 [D4GSC8] (pncB) nicotinate phosphoribosyltransferase,-0.727557182,0.647974536,0.088720422,0.768189977,-0.101116516,0.953145074,0.624838022,0.352825506,0.446214917,0.51663425,1033
HVO_1803 [D4GSC7] AMMECR1 domain protein,0,1,0,1,0,1,-1.63590435,0.000375006,-1.182181951,0.567642479,1034
HVO_1799 [D4GSC3] digeranylgeranylglycerophospholipid reductase / dolichol omega-reductase,-1.200932572,0.001086455,1.346071379,0.00083036,0.252409628,0.936977501,2.539761165,0.000375006,1.350996891,0.000549208,1035
HVO_1792 [D4GSB6] Lrp/AsnC family transcription regulator,-3.853491402,0.692190521,-0.101033416,0.733468863,-0.07270125,0.910245709,4.063970035,0.118461847,5.212445003,0.009307462,1036
HVO_1788 [D4GSB2] (nirA1) probable sulfite/nitrite reductase (ferredoxin),0.585982901,0.385629517,-0.13244419,0.794074684,-0.077164026,0.950481807,-0.685559867,0.158463883,-0.485426843,0.366370762,1037
HVO_1783 [D4GSA8] conserved hypothetical protein,0.628038722,0.736719043,0.550222999,0.699065361,-0.265268579,0.919313062,-0.58861517,0.273510076,-0.920757895,0.590253369,1038
HVO_1778 [D4GSA2] (katG) catalase-peroxidase,-0.414910961,0.624201267,0.110778791,0.801552725,-0.251986863,0.894233855,0.140728831,0.609136612,0.920194389,0.003840757,1039
HVO_1769 [D4GS94] (dppF3) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),0,1,0,1,0,1,0,1,0,1,1040
HVO_1761 [D4GS86] (mtfK3) FKBP-type peptidylprolyl isomerase,-1.812781943,0.059439678,0.406899076,0.627604092,-0.415716325,0.903883177,0,1,0,1,1041
HVO_1760 [D4GS85] ABC-type transport system ATP-binding protein,-2.723599038,0.001086455,0.584234563,0.680460342,0.120738281,0.92972455,1.957216346,0.000375006,1.8478775,0.006577056,1042
HVO_1759 [D4GS84] ABC-type transport system permease protein,-2.248958726,0.001086455,0.407693759,0.665355596,-0.091811944,0.899180107,1.611931111,0.413674026,1.326088752,0.540080792,1043
HVO_1758 [D4GS83] (trxB5) oxidoreductase (homolog to thioredoxin-disulfide reductase),-0.446604895,0.252175114,-1.932516703,0.152536325,0.208006994,0.928581504,-2.290773242,0.055550744,-1.447091956,0.534612931,1044
HVO_1757 [D4GS82] DoxX domain protein,11.57438312,1,16.50288554,1,14.34034691,1,0,1,0,1,1045
HVO_1752 [D4H091] Lrp/AsnC family transcription regulator,-1.118845426,0.695702457,-0.053146547,0.647918495,-0.330104861,0.902699445,1.944883356,0.013110942,1.528098867,0.582447688,1046
HVO_1751 [D4H090] (copA) P-type transport ATPase (probable substrate copper/metal cation),-1.580095652,0.001086455,0.981673441,0.110943914,0.528439979,0.895397864,2.39472884,0.000375006,1.788924171,0.000549208,1047
HVO_1749 [D4H088] conserved hypothetical protein,-1.804617049,0.576443304,1.234755143,0.012373377,-0.262046754,0.909805665,1.985919002,0.000375006,1.627494479,0.436112729,1048
HVO_1748 [D4H087] tetratricopeptide repeat protein (nonfunctional),0,1,0,1,0,1,0,1,0,1,1049
HVO_1746 [D4H085] DUF2800 family protein<|>HVO_A0439 [D4GRA5] DUF2800 family protein,0,1,0,1,0,1,11.70816026,1,15.45867668,1,1050
HVO_1745 [D4H084] conserved hypothetical protein,-0.187917632,0.696575306,1.476392517,0.544784453,0.946760425,0.877271824,1.50898935,0.452073506,1.964707666,0.495485256,1051
HVO_1743 [D4H082] SWIM zinc finger domain protein,1.417602096,0.003255544,-0.504286201,0.654412683,0.426241035,0.90791126,-2.037647401,0.000375006,-1.640935529,0.000549208,1052
HVO_1741 [D4H080] conserved hypothetical protein,0.112053341,0.730154806,1.113538809,0.718064563,0.628315849,0.901861857,1.31646318,0.397600445,0.877701396,0.532898094,1053
HVO_1737 [D4H076] DUF790 family protein,0,1,0,1,0,1,0,1,0,1,1054
HVO_1735 [D4H074] SWIM zinc finger domain protein,0.759344155,0.698314892,0.64610804,0.63849564,0.242341756,0.922898603,-0.21545833,0.536810571,-0.661662211,0.50646709,1055
HVO_1727 [D4H071] (tbp2) TATA-binding transcription initiation factor,0.978148322,0.264631323,0.657198859,0.578095147,0.010010581,0.93085157,0.110961474,0.576415497,1.132737751,0.004388489,1056
HVO_1725 [D4H069] (orc5) Orc1-type DNA replication protein,-1.205642141,0.660629582,-1.214104501,0.592121084,-0.059804038,0.925513701,-0.298094047,0.50686079,-0.45941913,0.604403439,1057
HVO_1723 [D4H067] (rad25d) DNA repair helicase Rad25,0.320941171,0.774161964,-0.973440691,0.726890659,-0.421686104,0.912199668,-1.78216089,0.267864454,-1.528227582,0.526354904,1058
"HVO_1718 [D4H063] (queD) 6-carboxy-5,6,7,8-tetrahydropterin synthase",-0.68811243,0.720756858,-2.400566744,0.586554184,-1.038346876,0.902341391,-2.237547718,0.390399101,-2.012935937,0.524625922,1059
HVO_1716 [D4H061] (queC) 7-cyano-7-deazaguanine synthase,0.010645848,0.733583387,0.459815649,0.676947303,0.046840592,0.892262666,-0.506758379,0.44733476,1.28026655,0.572932116,1060
HVO_1712 [D4H057] START domain protein,8.606156922,1,11.00862537,1,10.86266749,1,0,1,0,1,1061
HVO_1711 [D4H056] (sga1) probable glucoamylase,0.118692538,0.88292358,0.505968125,0.015642034,0.040981898,0.971189439,0.250632684,0.559628937,0.277895992,0.587008572,1062
HVO_1710 [D4H055] (amyA2) glycoside hydrolase domain protein,0.251152883,0.820000324,0.368242368,0.45474602,0.932605412,0.049830611,0.275930904,0.557319658,1.018414932,0.060613934,1063
HVO_1708 [D4H053] conserved hypothetical protein,0.530537029,0.738535388,1.32240373,0.006622035,-0.435903917,0.914426415,1.477098994,0.33721734,1.456776095,0.567642479,1064
HVO_1707 [D4H052] ABC-type transport system ATP-binding protein,-1.310334082,0.358080544,0.909782385,0.318724923,0.205936487,0.933974451,2.362415396,0.000375006,1.493620164,0.000549208,1065
HVO_1706 [D4H051] ABC-type transport system permease protein,-2.098466071,0.622799718,0.762650269,0.621744314,0.170523866,0.90745973,2.498602949,0.079569371,1.844482863,0.415548841,1066
HVO_1705 [D4H050] ABC-type transport system periplasmic substrate-binding protein,-1.87738112,0.001086455,0.799466384,0.001660448,-0.039173786,0.933891656,1.661056519,0.000375006,1.615466933,0.000549208,1067
HVO_1704 [D4H049] homolog to arabinopyranose mutase,-3.522583542,0.001086455,-2.338736142,1,0.515825162,0.901379872,0.270744068,1,-2.13849825,0.672481023,1068
HVO_1703 [D4H048] (hel2) probable DEAD/DEAH box helicase,0,1,0,1,0,1,0,1,0,1,1069
HVO_1699 [D4H044] pyridoxal phosphate-dependent aminotransferase (homolog to histidinol-phosphate aminotransferase / aspartate aminotransferase),-1.169893324,0.700621749,-0.427842605,0.695683444,-1.148136292,0.90028635,0.231907135,0.561277645,0.388125793,0.646871239,1070
HVO_1698 [D4H043] CBS/parB domain protein,0.404788528,0.748737609,-1.325509122,0.628574357,0.036341768,0.896675119,-2.499006338,0.000375006,-2.634582808,0.499395574,1071
