"Protein.ID","H26_vs_DksgA","H26_vs_DksgA_KsgA","H26_vs_DksgA_ksgA_E84A"
"1183","HVO_1850 [D4GSV3] conserved hypothetical protein",0.100941843,-0.482782131,-1.734930422
"1184","HVO_1849 [D4GSV2] (ywaD2) probable M28 family peptidase (homolog to aminopeptidase YwaD)",0.284842823,-0.676308494,-0.693854943
"1185","HVO_1848A [D4GSV1] small CPxCG-related zinc finger protein",-1.933747767,-0.463723192,-0.842037546
"1186","HVO_1847 [D4GSV0] (pepF) oligoendopeptidase PepF",-0.567823632,-0.460398799,-0.564649349
"1187","HVO_1831 [D4GST9] (ferA4) ferredoxin (2Fe-2S)",0.001428785,0.55145852,0.578249035
"1188","HVO_1830 [D4GST8] (gndA) 6-phosphogluconate dehydrogenase (NAD-dependent, decarboxylating)",-0.007936131,-0.044294864,-0.081752777
"1189","HVO_1829 [D4GST7] (pepB2) aminopeptidase (homolog to leucyl aminopeptidase / aminopeptidase T)",-0.274379412,-0.164526871,-0.067272451
"1190","HVO_1828 [D4GST6] small CPxCG-related zinc finger protein",0,0,0
"1191","HVO_1827 [D4GST5] (rps6e) 30S ribosomal protein S6e",-0.293935883,0.804378909,0.822725297
"1192","HVO_1826 [D4GST4] conserved hypothetical protein",0.534008001,0.004361492,0.169877453
"1193","HVO_1825 [D4GST3] conserved hypothetical protein",-0.101768198,1.108945066,1.312282815
"1194","HVO_1824 [D4GST2] conserved hypothetical protein",-0.284680782,0.194822575,0.363996866
"1195","HVO_1823 [D4GST1] UspA domain protein",-0.168564562,-0.209499925,-0.289092835
"1196","HVO_1822 [D4GST0] UspA domain protein",-0.520808065,-0.149851748,-0.214409705
"1197","HVO_1821 [D4GSS9] (pat2) GNAT family acetyltransferase Pat2",0.226831027,0.537451932,0.962807859
"1198","HVO_1820 [D4GSS8] UspA domain protein",0.05666613,0.427376901,0.299853844
"1199","HVO_1819 [D4GSS7] conserved hypothetical protein",-0.921017977,0.228115281,0.044202613
"1200","HVO_1818 [D4GSE2] conserved hypothetical protein",-0.055692289,0.732513196,0.305472534
"1201","HVO_1816 [D4GSE0] (pyrC) dihydroorotase",-0.766644549,-0.314732671,-0.443491976
"1202","HVO_1815 [D4GSD9] lipoate--protein ligase domain protein",-0.070966918,-0.276654524,-1.074832176
"1203","HVO_1814 [D4GSD8] peptidase M23 family protein",-0.02195538,-1.335031523,-1.332024606
"1204","HVO_1812 [D4GSD6] probable ketohexokinase",-0.176119235,-0.099588787,-0.346374553
"1205","HVO_1811 [D4GSD5] sensor box histidine kinase",0.079009234,-0.645652899,-0.957607333
"1206","HVO_1810 [D4GSD4] PaaI family protein",0.322707416,-1.417569721,-1.404130077
"1207","HVO_1809 [D4GSD3] (entB2) isochorismatase family protein",-0.343321499,1.302501721,1.627012569
"1208","HVO_1808 [D4GSD2] conserved hypothetical protein",-0.456573531,-0.712879886,-1.325490631
"1209","HVO_1806 [D4GSD0] conserved hypothetical protein",-0.024294962,-0.424666739,1.845559003
"1210","HVO_1804 [D4GSC8] (pncB) nicotinate phosphoribosyltransferase",-0.197870657,-0.131852459,-0.248558122
"1211","HVO_1803 [D4GSC7] AMMECR1 domain protein",0.460448126,-0.864221716,-1.403837875
"1212","HVO_1801 [D4GSC5] conserved hypothetical protein",-1.144618435,0.23167119,0.258271483
"1213","HVO_1799 [D4GSC3] digeranylgeranylglycerophospholipid reductase / dolichol omega-reductase",-0.449810522,-1.484563143,-1.192895785
"1214","HVO_1797 [D4GSC1] beta-lactamase domain protein",0.077001676,-0.847199069,-0.136949779
"1215","HVO_1792A [A0A1C9J6V6] conserved hypothetical protein",-0.028687745,0.838249983,0.974338274
"1216","HVO_1792 [D4GSB6] Lrp/AsnC family transcription regulator",-0.302498654,0.210980587,0.317661936
"1217","HVO_1789 [D4GSB3] conserved hypothetical protein",-0.306034507,0.165135631,0.18432009
"1218","HVO_1788 [D4GSB2] (nirA1) probable sulfite/nitrite reductase (ferredoxin)",-0.066581652,-0.650393661,-0.012029724
"1219","HVO_1787 [D4GSB1] conserved hypothetical protein",-0.971609734,-0.380147607,-0.205593893
"1220","HVO_1785 [D4GSA9] conserved hypothetical protein",-0.913078198,1.143648843,1.441627214
"1221","HVO_1783 [D4GSA8] conserved hypothetical protein",0.46871247,0.010485284,-0.050491602
"1222","HVO_1780 [D4GSA4] HTH domain protein",-0.411023169,1.147668016,0.848463966
"1223","HVO_1779 [D4GSA3] (htr8) transducer protein Htr8",0,0,0
"1224","HVO_1778 [D4GSA2] (katG) catalase-peroxidase",0.456468019,1.003400649,1.084740924
"1225","HVO_1762 [D4GS87] DnaJ N-terminal domain / ferredoxin fusion protein",0.203877835,0.77593837,1.30324648
"1226","HVO_1761 [D4GS86] (mtfK3) FKBP-type peptidylprolyl isomerase",-0.418565263,1.516408028,1.159434299
"1227","HVO_1760 [D4GS85] ABC-type transport system ATP-binding protein",-1.117484811,-0.58349723,-1.386973346
"1228","HVO_1758 [D4GS83] (trxB5) oxidoreductase (homolog to thioredoxin-disulfide reductase)",-0.928615346,-1.238761751,-1.964628768
"1229","HVO_1755 [D4GS80] conserved hypothetical protein",0.56003754,1.680423824,1.603603707
"1230","HVO_1753 [D4GS78] HMA domain protein",-1.123014946,0.163514446,0.226080094
"1231","HVO_1752 [D4H091] Lrp/AsnC family transcription regulator",-0.067340987,0.911344631,0.662339804
"1232","HVO_1751 [D4H090] (copA) P-type transport ATPase (probable substrate copper/metal cation)",0.09072477,0.51111438,0.029421912
"1233","HVO_1749 [D4H088] conserved hypothetical protein",-0.161258059,0.580651979,0.659326656
"1234","HVO_1746 [D4H085] DUF2800 family protein<|>HVO_A0439 [D4GRA5] DUF2800 family protein",-0.246349014,1.515313281,1.97141413
"1235","HVO_1746 [D4H085] DUF2800 family protein",-0.146424006,1.295166211,0.996553566
"1236","HVO_1745 [D4H084] conserved hypothetical protein",-0.765770196,-0.713935044,-0.713271897
"1237","HVO_1743 [D4H082] SWIM zinc finger domain protein",-0.444345826,1.310389659,1.032949768
"1238","HVO_1742 [D4H081] conserved hypothetical protein",-0.163736062,0.69611142,0.418582416
"1239","HVO_1741 [D4H080] conserved hypothetical protein",-0.525679618,0.769422036,0.507077224
"1240","HVO_1740 [D4H079] conserved hypothetical protein",-0.211308311,-0.756768672,-1.645659814
"1241","HVO_1739 [D4H078] conserved hypothetical protein",0.037576344,-0.548993678,-0.583252849
"1242","HVO_1738 [D4H077] CcbP family protein",-0.394123761,-1.120490317,-0.896604696
"1243","HVO_1737 [D4H076] DUF790 family protein<|>HVO_A0440 [D4GRA6] DUF790 family protein",0.509175719,-0.29970654,-0.067694265
"1244","HVO_1737 [D4H076] DUF790 family protein",0.240734768,-1.276186445,-1.836977423
"1245","HVO_1735 [D4H074] SWIM zinc finger domain protein",-0.317354958,-0.606271679,-0.656375227
"1246","HVO_1734 [D4H073] conserved hypothetical protein",0.501526402,-0.295585563,-0.124705387
"1247","HVO_1733 [D4H072] HTH domain protein",-0.954031511,1.699769548,1.65204182
"1248","HVO_1727 [D4H071] (tbp2) TATA-binding transcription initiation factor",-0.255467889,2.099893624,2.323332576
"1249","HVO_1726 [D4H070] HTH domain protein",0.011918523,-1.136821221,-1.191150651
"1250","HVO_1725 [D4H069] (orc5) Orc1-type DNA replication protein",0.02264701,-0.488522209,-0.477815184
"1251","HVO_1723 [D4H067] (rad25d) DNA repair helicase Rad25",-0.233465713,-1.145047664,-1.239615076
"1252","HVO_1719 [D4H064] thioesterase domain protein",-0.166536432,-0.556077475,-0.504530342
"1253","HVO_1718 [D4H063] (queD) 6-carboxy-5,6,7,8-tetrahydropterin synthase",-0.628040039,1.058730477,1.049241829
"1254","HVO_1717 [D4H062] (queE) 7-carboxy-7-deazaguanine synthase",-1.084239799,-0.179627023,-0.271639941
"1255","HVO_1716 [D4H061] (queC) 7-cyano-7-deazaguanine synthase",-0.918892481,0.454962693,0.685030428
"1256","HVO_1715 [D4H060] probable S-adenosylmethionine-dependent methyltransferase",-0.870969608,-0.229415358,-0.386312649
"1257","HVO_1711 [D4H056] (sga1) probable glucoamylase",0.69440251,-0.934571497,-0.779689586
"1258","HVO_1710 [D4H055] (amyA2) glycoside hydrolase domain protein",0.075601699,-0.218823343,-0.023923661
"1259","HVO_1708 [D4H053] conserved hypothetical protein",-0.067227878,1.359535374,1.221114745
"1260","HVO_1707 [D4H052] ABC-type transport system ATP-binding protein",-0.31771877,0.247990991,0.061662224
"1261","HVO_1706 [D4H051] ABC-type transport system permease protein",0.992030556,-0.781098746,-0.669340669
"1262","HVO_1705 [D4H050] ABC-type transport system periplasmic substrate-binding protein",-0.629687509,1.162333785,0.6273314
"1263","HVO_1704 [D4H049] homolog to arabinopyranose mutase",-0.308727751,-0.313469933,-1.167638887
"1264","HVO_1703 [D4H048] (hel2) probable DEAD/DEAH box helicase",0.450460244,-1.113935366,-0.807391746
"1265","HVO_1702 [D4H047] conserved hypothetical protein",-0.475647874,1.416360871,1.089856667
"1266","HVO_1701 [D4H046] DUF123 domain protein",-0.172662868,-0.234440729,-0.147534138
"1267","HVO_1700 [D4H045] HTH domain protein",0.855090252,-0.316594186,0.100797544
"1268","HVO_1699 [D4H044] pyridoxal phosphate-dependent aminotransferase (homolog to histidinol-phosphate aminotransferase / aspartate aminotransferase)",0.457425745,-1.505876523,-1.426802255
"1269","HVO_1698 [D4H043] CBS/parB domain protein",-0.193912739,-0.338291286,-0.409164279
"1270","HVO_1697 [D4H042] FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein)<|>HVO_A0088 [D4GQC0] FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein)<|>HVO_B0265 [D4GPR2] FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein)",-0.515000352,1.615340938,-2.225966796
"1271","HVO_1697 [D4H042] FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein)",-0.294684671,-4.143661318,-4.239242782
"1272","HVO_1696 [D4H041] LctP family transport protein",0.663167938,1.705566872,1.763719118
"1273","HVO_1694 [D4H039] conserved hypothetical protein",-0.582973025,-1.213251073,6.146625413
"1274","HVO_1693 [D4H038] DUF162 family protein",-0.704061487,-0.994274805,-0.806425052
"1275","HVO_1692 [D4H037] probable iron-sulfur protein (4Fe-4S)",-0.124800473,-1.447577228,-1.503397803
"1276","HVO_1691 [D4H036] PRC domain protein",-0.385222861,0.906806591,0.354212284
"1277","HVO_1690 [D4H035] DHH/RecJ family phosphoesterase",-0.101520811,-0.158296134,-0.134721721
"1278","HVO_1685 [D4GZP9] conserved hypothetical protein",0.505645605,-0.637954549,-0.381368752
"1279","HVO_1684 [D4GZP8] (thrS) threonine--tRNA ligase",-0.112770066,-0.355791079,-0.192311281
"1280","HVO_1683 [D4GZP7] (malQ) 4-alpha-glucanotransferase",0.046133051,-1.132624933,-0.614981538
"1281","HVO_1681 [D4GZP5] DNA N-glycosylase",-0.147828399,-1.024441028,-1.179956939
"1282","HVO_1680 [D4GZP4] UPF0212 family protein",-1.043119234,-0.568873549,-1.352447009
"1283","HVO_1678 [D4GZP2] (tif2b1) translation initiation factor aIF-2 beta subunit",-0.692267047,0.843416555,0.610009211
"1284","HVO_1677 [D4GZP1] small CPxCG-related zinc finger protein",-0.772697981,0.898738885,0.621307922
"1285","HVO_1676 [Q9YGA5] (tfb2) transcription initiation factor TFB",-0.042550039,0.000861028,-0.279539566
"1286","HVO_1675 [D4GZN9] (corA) magnesium transport protein CorA",-0.319739215,-1.071423662,-1.445755919
"1287","HVO_1673 [D4GZN7] conserved hypothetical protein",-0.548217416,-0.485323127,-0.905344558
"1288","HVO_1670 [D4GZN4] (nop5) rRNA/tRNA 2'-O-methyltransferase complex protein Nop5",-0.366219354,0.83323524,0.880961773
"1289","HVO_1669 [D4GZN3] (fib) fibrillarin-like rRNA/tRNA 2'-O-methyltransferase",-0.313442009,-0.492957453,-0.272760148
"1290","HVO_1668 [D4GZN2] (gshA) glutamate--cysteine ligase",-0.165314062,-0.17715958,-0.104386488
"1291","HVO_1667 [D4GZN1] TrmB family transcription regulator",-0.11342223,0.344573696,0.196051935
"1292","HVO_1666 [D4GZN0] (coaD) phosphopantetheine adenylyltransferase",-0.445632901,0.928895162,0.873753471
"1293","HVO_1664 [D4GZM8] cyclin domain protein",-0.750419521,-0.03711512,-0.366865643
"1294","HVO_1661 [D4GZM6] globin family protein",-0.117223035,0.23787225,0.48848276
"1295","HVO_1660 [D4GZM5] (dacZ) diadenylate cyclase",-0.066866821,-1.071174571,-1.225076637
"1296","HVO_1658 [D4GZM3] (yvoF) O-acetyltransferase (homolog to galactoside O-acetyltransferase)",0.255506085,-0.81729489,-0.911133181
"1297","HVO_1657 [D4GZM2] (purD) phosphoribosylamine--glycine ligase",0.416755451,-1.803999139,-1.95032413
"1298","HVO_1656 [D4GZM1] YyaL family protein",-0.243970778,-0.308263215,-0.437369669
"1299","HVO_1655 [D4GZM0] (trxA7) thioredoxin",-0.906092794,1.04174372,1.122040382
"1300","HVO_1654 [D4GZL9] (cysK2) cysteine synthase",0.150439066,-0.395152583,0.05226296
"1301","HVO_1653 [D4GZL8] conserved hypothetical protein",0.465087165,-1.007939646,-0.734706244
"1302","HVO_1652 [D4GZL7] conserved hypothetical protein",-0.243862431,3.909940053,3.685461325
"1303","HVO_1651 [D4GZL6] (thiI) tRNA uracil 4-sulfurtransferase",0.462819311,-0.691242086,-0.549703081
"1304","HVO_1650 [D4GZ78] (ppk1) polyphosphate kinase",0.054048205,-0.580553711,-0.448421625
"1305","HVO_1649 [D4GZ77] (mat) S-adenosylmethionine synthase",-0.277702699,0.647225263,0.47912457
"1306","HVO_1648 [D4GZ76] adenylate cyclase domain protein",-0.352269344,0.88566251,0.810995265
"1307","HVO_1637 [D4GZ66] (mtfK2) FKBP-type peptidylprolyl isomerase",-0.679065119,1.0697879,0.901532006
"1308","HVO_1636 [D4GZ65] conserved hypothetical protein",0,0,0
"1309","HVO_1635 [D4GZ64] conserved hypothetical protein",0,0,0
"1310","HVO_1633 [D4GZ62] DUF964 family protein",-0.79941796,1.209331122,0.981813162
"1311","HVO_1632 [D4GZ61] alpha/beta hydrolase fold protein",-0.140016534,1.427663429,1.973297409
"1312","HVO_1631 [D4GZ60] (dph2) 2-(3-amino-3-carboxypropyl)histidine synthase",-0.267712758,-0.720680413,-0.584629268
"1313","HVO_1629 [D4GZ58] conserved hypothetical protein",0.087702008,0.207060505,0.146342944
"1314","HVO_1628 [D4GZ57] TIGR00725 family protein",-0.302135392,-0.859719278,-0.843366117
"1315","HVO_1626 [D4GZ55] metal-dependent hydrolase domain protein",-0.748461756,-0.418543958,-0.257854037
"1316","HVO_1625 [D4GZ54] conserved hypothetical protein",-0.065649954,1.362517344,0.785460611
"1317","HVO_1623 [D4GZ53] conserved hypothetical protein",-0.618727708,-0.47043477,-0.596465982
"1318","HVO_1620 [D4GZ49] XerC/D-like integrase",-0.421975141,-0.475612268,-0.610603101
"1319","HVO_1619 [D4GZ48] conserved hypothetical protein",-0.905332899,0.249296746,-0.010927942
"1320","HVO_1618 [D4GZ47] hypothetical protein",0.044391632,-3.106137973,-3.909233506
"1321","HVO_1616 [D4GZ45] UPF0361 family protein",-0.722326062,-0.393476356,-0.634573934
"1322","HVO_1615 [D4GZ44] ribonuclease H domain protein",0.048097983,0.848652868,0.948813105
"1323","HVO_1614 [D4GZ43] conserved hypothetical protein",-1.019621118,0.720951269,0.779634161
"1324","HVO_1613 [D4GZ42] dolichyl-phosphate hexosyltransferase",-0.4696033,-1.674107484,-2.056465683
"1325","HVO_1611 [D4GZ40] conserved hypothetical protein",-0.749566099,1.149840317,0.911130764
"1326","HVO_1610 [D4GZ39] DUF583 domain protein",0.543509423,0.541978708,0.127942464
"1327","HVO_1608 [D4GZ37] GTP-binding protein",-0.290908639,0.667783091,0.722147411
"1328","HVO_1607 [D4GZ36] conserved hypothetical protein",-1.961033106,-1.234720538,-1.023187435
"1329","HVO_1605 [D4GZ34] (nhaC5) probable NhaC-type sodium/proton antiporter",0.773208025,-1.070979404,-1.334338808
"1330","HVO_1604 [D4GZ33] (aspC1) pyridoxal phosphate-dependent aminotransferase",0.057137165,-1.750077112,-1.415514442
"1331","HVO_1603 [D4GZ32] (ssuA) ABC-type transport system periplasmic substrate-binding protein (probable substrate nitrate/sulfonate/bicarbonate)",-0.253671188,1.341455804,1.441865246
"1332","HVO_1602 [D4GZ31] (ssuC) ABC-type transport system permease protein (probable substrate nitrate/sulfonate/bicarbonate)",0.933153277,0.744892799,1.297557565
"1333","HVO_1601 [D4GZ30] (ssuB) ABC-type transport system ATP-binding protein (probable substrate nitrate/sulfonate/bicarbonate)",0.078404645,1.109602328,1.370111461
"1334","HVO_1599 [D4GZ28] conserved hypothetical protein",-0.855458417,0.416966521,0.516078763
"1335","HVO_1598 [D4GZ27] (rad25c) DNA repair helicase Rad25",0.437227116,-1.260909663,-1.117717461
"1336","HVO_1597 [D4GZ26] conserved hypothetical protein",-0.703248304,0.875514032,0.372186308
"1337","HVO_1596 [D4GZ25] DUF790 family protein",0.314180231,-0.892543519,-0.651615779
"1338","HVO_1595 [D4GZ24] conserved hypothetical protein",-0.515335052,-0.545834798,-0.101613334
"1339","HVO_1594 [D4GZ23] (cna) tRNA/rRNA cytosine-C5-methylase",-0.081519281,-2.024884996,-1.648141358
"1340","HVO_1593 [D4GZ22] PAC2 family protein",-0.902918814,0.574067214,0.464722726
"1341","HVO_1592 [Q1XBW3] (grpE) DnaJ/DnaK ATPase stimulator GrpE",-0.722245587,0.902286724,0.782826703
"1342","HVO_1591 [D4GZ20] alpha/beta hydrolase fold protein",0.658359436,-1.218758791,-0.839269727
"1343","HVO_1590 [Q1XBW2] (dnaK) Hsp70-type molecular chaperone DnaK",-0.241085844,1.375812221,1.281294272
"1344","HVO_1589 [Q1XBW1] (dnaJ) molecular chaperone DnaJ",-0.544977447,0.166175816,-0.08639508
"1345","HVO_1588 [Q1XBW0] cupin 2 barrel domain protein",-0.686653915,0.488051166,0.109649487
"1346","HVO_1587 [D4GZ16] conserved hypothetical protein",-0.255298487,0.2011099,0.329745133
"1347","HVO_1585 [D4GZ14] (acs5) acyl-CoA synthetase",-0.084971653,-2.613921794,-2.650039017
"1348","HVO_1584 [D4GZ13] GNAT family acetyltransferase",-0.785369385,0.817846709,0.473728377
"1349","HVO_1583 [D4GZ12] conserved hypothetical protein",-1.600427304,-0.906158444,-1.714702278
"1350","HVO_1581 [D4GZ10] (cdd) cytidine deaminase",-0.240076412,0.155775515,0.149517524
"1351","HVO_1579 [D4GZ08] (udp1) uridine phosphorylase",-0.036348276,-1.133333023,-1.008281113
"1352","HVO_1578 [D4GZ07] (ndh1) probable NADH dehydrogenase",0.293974052,-0.89775592,-0.739214768
"1353","HVO_1577 [D4GZ06] DUF293 domain protein",-0.296670304,1.478718373,1.379195682
"1354","HVO_1576 [D4GZ05] GalE family epimerase/dehydratase<|>HVO_2040 [D4GU54] GalE family epimerase/dehydratase",-0.145698346,-0.038720091,0.345924568
"1355","HVO_1576 [D4GZ05] GalE family epimerase/dehydratase",-0.370578584,0.007437806,-0.050084247
"1356","HVO_1575 [D4GZ04] (rocF) arginase",-0.010339562,-1.426336834,-1.558000912
"1357","HVO_1574 [D4GZ03] NUDIX family hydrolase",0.272379913,-0.893556214,-1.051461385
"1358","HVO_1573 [D4GZ02] (gyrA) DNA gyrase subunit A",-0.05294978,-0.40555124,-0.274012705
"1359","HVO_1572 [D4GZ01] (gyrB) DNA gyrase subunit B",0.038269304,-0.189297074,0.109610019
"1360","HVO_1571 [D4GZ00] (top6B) DNA topoisomerase 6 subunit B",-0.229795932,-1.069155158,-0.652252934
"1361","HVO_1570 [D4GYZ9] (top6A) DNA topoisomerase 6 subunit A",-0.323627118,-0.630228765,-0.395055972
"1362","HVO_1568 [D4GYZ7] alpha/beta hydrolase fold protein",-0.177193476,-0.567915393,-0.381553659
"1363","HVO_1567 [D4GYZ6] metal-dependent hydrolase domain protein",0.099701148,-0.884506897,-0.613144778
"1364","HVO_1565 [D4GYZ4] (ligA) DNA ligase (ATP)",-0.419463517,-0.547279597,-0.577758605
"1365","HVO_1564 [D4GYZ3] UCP012666 family protein",-0.102842509,-1.095635053,-1.384370617
"1366","HVO_1563 [D4GYZ2] conserved hypothetical protein",0,0,0
"1367","HVO_1562 [D4GYZ1] (psmB) proteasome beta subunit",0.075001572,-0.366612771,-0.045173546
"1368","HVO_1561 [D4GYZ0] conserved hypothetical protein",0.155726938,3.553613146,-0.442581646
"1369","HVO_1560 [D4GYY9] UPF0212 family protein",-0.409445009,0.724202507,0.88688105
"1370","HVO_1559 [D4GYY8] HTH/CBS domain protein",-0.125396888,0.901061436,0.760521187
"1371","HVO_1558 [D4GYY7] (cyc2) cytochrome P450",0.703992184,1.783727466,-1.085619835
"1372","HVO_1557 [D4GYY6] (purM) phosphoribosylformylglycinamidine cyclo-ligase",0.098793353,-0.64620365,-0.89289406
"1373","HVO_1554 [D4GYY3] (traB) TraB family protein",0.638848496,-0.381901506,-0.368124753
"1374","HVO_1553 [D4GYY2] glycerate 2-kinase",0.285277026,0.331754945,0.572846123
"1375","HVO_1552 [D4GYJ6] ArsR family transcription regulator",-0.325499941,1.848724923,1.849458095
"1376","HVO_1550 [D4GYJ4] thioesterase domain protein",-0.050339454,-0.39307795,-0.444719938
"1377","HVO_1549 [D4GYJ3] conserved hypothetical protein",0.230381503,1.63071888,1.612592411
"1378","HVO_1548 [D4GYJ2] conserved hypothetical protein",0.464215867,0.196110202,-0.125675374
"1379","HVO_1547 [D4GYJ1] (ileS) isoleucine--tRNA ligase",0.099660536,-0.515300322,-0.191187258
"1380","HVO_1546 [D4GYJ0] (dhaK) phosphoenolpyruvate--dihydroxyacetone phosphotransferase subunit DhaK",-0.51502308,0.42855411,0.094680131
"1381","HVO_1545 [D4GYI9] (dhaL) phosphoenolpyruvate--dihydroxyacetone phosphotransferase subunit DhaL",-0.071631278,2.155401774,2.061097694
"1382","HVO_1544 [D4GYI8] (dhaM) probable phosphoenolpyruvate-protein phosphoryltransferase",0.038045857,0.957422326,0.604179102
"1383","HVO_1543 [D4GYI7] (ptsH2) phosphocarrier protein HPr",-0.954187392,1.062339832,1.127463865
"1384","HVO_1542 [D4GYI6] conserved hypothetical protein",1.003920952,-0.347409157,0.157810397
"1385","HVO_1541 [D4GYI5] (glpK) glycerol kinase",0.184371294,-1.116084398,-0.911933076
"1386","HVO_1540 [D4GYI4] (glpC1) glycerol-3-phosphate dehydrogenase subunit C<|>HVO_A0271 [D4GQU8] (glpC2) glycerol-3-phosphate dehydrogenase subunit C",-0.63466006,1.089020718,0.914938896
"1387","HVO_1540 [D4GYI4] (glpC1) glycerol-3-phosphate dehydrogenase subunit C",-0.435311936,1.311438005,1.350931428
"1388","HVO_1539 [D4GYI3] (glpB1) glycerol-3-phosphate dehydrogenase subunit B",-0.416586646,-0.268277711,-0.276926705
"1389","HVO_1538 [D4GYI2] (glpA1) glycerol-3-phosphate dehydrogenase subunit A<|>HVO_A0269 [D4GQU6] (glpA2) glycerol-3-phosphate dehydrogenase subunit A",0.038338399,0.131662918,0.32422941
"1390","HVO_1538 [D4GYI2] (glpA1) glycerol-3-phosphate dehydrogenase subunit A",-0.361841494,-0.052926385,-0.009574343
"1391","HVO_1537 [D4GYI1] (orc15) Orc1-type DNA replication protein",-0.631346226,-0.420388555,-0.584135236
"1392","HVO_1536 [D4GYI0] phosphoglycolate phosphatase",-0.160917655,1.331981986,1.376263867
"1393","HVO_1535 [D4GYH9] conserved hypothetical protein",-0.188238506,1.33579727,1.602339693
"1394","HVO_1534 [D4GYH8] probable S-adenosylmethionine-dependent methyltransferase",0.051830923,0.63881047,0.873240424
"1395","HVO_1533 [D4GYH7] small CPxCG-related zinc finger protein",0,0,0
"1396","HVO_1531 [D4GYH5] (aglM) UDP-glucose 6-dehydrogenase AglM",0.031047799,0.091254637,0.150392892
"1397","HVO_1530 [D4GYH4] (aglB) dolichyl-monophosphooligosaccharide--protein glycotransferase AglB",0.922512916,-0.584180042,-0.618658436
"1398","HVO_1529 [D4GYH3] (aglG) glucuronosyltransferase AglG",0.028348531,-0.796484495,-0.806113115
"1399","HVO_1528 [D4GYH2] (aglI) glycosyltransferase AglI",0.420034231,-1.344217656,-1.179834481
"1400","HVO_1527 [D4GYH1] (aglF) UTP--glucose-1-phosphate uridylyltransferase AglF",0.608536466,-0.434749725,-0.701466634
"1401","HVO_1523A [D4GYG7] (aglE) glycosyltransferase AglE",0.819752517,-0.796498627,-0.969938005
"1402","HVO_1523 [D4GYG6] (aglQ) N-glycosylation pathway protein AglQ",0.820476651,-0.467224197,-0.384554059
"1403","HVO_1522 [D4GYG5] (aglP) hexuronic acid methyltransferase AglP",0.811751753,-0.434739807,-0.558745282
"1404","HVO_1517 [D4GYG3] (aglJ) dolichyl-phosphate glucosyltransferase AglJ",0.498578923,-0.295388669,-0.926446219
"1405","HVO_1516 [D4GYG2] conserved hypothetical protein",-0.82715693,0.462741896,0.438607555
"1406","HVO_1515 [D4GYG1] CopG domain protein",-0.720472973,0.849052149,0.698354353
"1407","HVO_1514 [D4GYG0] conserved hypothetical protein",-0.35379113,-0.200671525,0.036920208
"1408","HVO_1513 [D4GYF9] beta-lactamase domain protein",0.261994232,-1.05765472,-0.686528675
"1409","HVO_1512 [D4GYF8] conserved hypothetical protein",-0.896568116,1.06698998,0.851204871
"1410","HVO_1508 [D4GYF4] (ilvB1) acetolactate synthase large subunit",-0.110076206,-0.3148509,-0.116449431
"1411","HVO_1507 [D4GYF3] (ilvN) acetolactate synthase small subunit",-0.348776497,1.176624457,1.425612465
"1412","HVO_1506 [D4GYF2] (ilvC) ketol-acid reductoisomerase",-0.131088414,1.535838321,2.078969467
"1413","HVO_1505 [D4GYF1] conserved hypothetical protein",-0.269807697,1.597195995,1.624160617
"1414","HVO_1504 [Q7ZAG7] (leuC1) 3-isopropylmalate dehydratase large subunit",0.255435666,0.182648022,0.829815548
"1415","HVO_1503 [D4GYE9] (leuD1) 3-isopropylmalate dehydratase small subunit",-0.310733099,1.489166902,1.98222997
"1416","HVO_1502 [D4GYE8] (leuB) 3-isopropylmalate dehydrogenase",-0.068331252,0.78128838,1.412991619
"1417","HVO_1501 [D4GYE7] (glpR) DeoR family transcription regulator GlpR",0.095173598,-1.268871991,-1.690555448
"1418","HVO_1500 [D4GYE6] (pfkB) 1-phosphofructokinase",0.066309809,-0.674073706,-0.679116611
"1419","HVO_1499 [D4GYE5] (ptfC) phosphotransferase system component IIC, fructose-specific",0.418802746,0.091610648,-0.279121452
"1420","HVO_1498 [D4GYE4] (ptfA) phosphotransferase system component IIA, fructose-specific",-0.681918728,1.495476801,1.327496333
"1421","HVO_1497 [D4GYE3] (ptsH1) phosphocarrier protein HPr",-1.034041158,1.176981874,0.551987075
"1422","HVO_1496 [D4GYE2] (ptsI) phosphotransferase system component I",-0.319105081,1.106971323,1.070999262
"1423","HVO_1495 [D4GYE1] (ptfB) phosphotransferase system component IIB, fructose-specific",-0.228276807,1.375531956,1.263989211
"1424","HVO_1494 [D4GYE0] (fba1) fructose-bisphosphate aldolase, class 2",0.172485563,0.80734939,0.602640577
"1425","HVO_1493 [D4GYD9] conserved hypothetical protein",-0.645937338,1.048501232,0.703923458
"1426","HVO_1492 [D4GYD8] conserved hypothetical protein",-0.16631277,0.602725837,0.567687095
"1427","HVO_1491 [D4GYD7] HAD superfamily hydrolase",0.203809908,-0.912711769,-0.768245324
"1428","HVO_1488 [D4GYD4] (gnaD) D-gluconate dehydratase<|>HVO_B0038A [D4GP40] (xacD) D-xylonate dehydratase / D-gluconate dehydratase",-0.01408925,-0.417691236,-0.784636222
